VehicleId,ModelYear,Make,Model,VehicleDescription,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,CombinedSideBarrierAndPoleRatingFront,CombinedSideBarrierAndPoleRatingRear,SideBarrierRatingOverall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,DynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ImagePath
2419,2008,ACURA,MDX,2008 Acura MDX 4-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,5,5,Not Rated,Not Rated,Not Rated,4,Not Rated,0.14,0,No Tip,Not Rated,Standard,No,No,49,1,0,2008/ACURA/MDX/2008 Acura MDX 4-DR. w_SAB.png
2420,2008,ACURA,RDX,2008 Acura RDX 4-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,5,5,Not Rated,Not Rated,Not Rated,4,Not Rated,0.155,0,No Tip,Not Rated,Standard,No,No,33,3,0,2008/ACURA/RDX/2008 Acura RDX 4-DR. w_SAB.png
2421,2008,ACURA,RL,2008 Acura RL 4-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,5,5,Not Rated,Not Rated,Not Rated,5,Not Rated,0.097,0,No Tip,Not Rated,Standard,Optional,No,13,6,0,2008/ACURA/RL/2008 Acura RL 4-DR. w_SAB.png
2422,2008,ACURA,TL,2008 Acura TL 4-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,4,0,0.103, ,Not Rated,Standard,No,No,124,4,0,2008/ACURA/TL/2008 Acura TL 4-DR. w_SAB.png
2423,2008,ACURA,TSX,2008 Acura TSX  4-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,5,4,Not Rated,Not Rated,Not Rated,Not Rated,4,0,0.118, ,Not Rated,Standard,No,No,34,3,0,2008/ACURA/TSX/2008 Acura TSX  4-DR. w_SAB.png
2756,2008,AUDI,A3,2008 Audi A3 4-DR. w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,43,3,0,2008/AUDI/A3/2008 Audi A3 4-DR. w_SAB.png
2773,2008,AUDI,A4,2008 Audi A4 4-DR. w/SAB,,Not Rated,Not Rated,4,4,Not Rated,5,4,Not Rated,Not Rated,Not Rated,4,Not Rated,0.107,0,No Tip,Not Rated,Standard,No,No,191,6,0,2008/AUDI/A4/2008 Audi A4 4-DR. w_SAB.png
2768,2008,AUDI,A4 AVANT,2008 Audi A4 Avant Wagon 4-DR. w/SAB,,Not Rated,Not Rated,4,4,Not Rated,5,4,Not Rated,Not Rated,Not Rated,4,4,0.107,0.107,No Tip,Not Rated,Standard,No,No,4,3,0,2008/AUDI/A4 AVANT/2008 Audi A4 Avant Wagon 4-DR. w_SAB.png
2770,2008,AUDI,A4 CABRIOLET,2008 Audi A4 Cabriolet  w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,191,6,0,2008/AUDI/A4 CABRIOLET/2008 Audi A4 Cabriolet  w_SAB.png
2766,2008,AUDI,A5,2008 Audi A5 2-DR w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,Optional,No,5,1,0,2008/AUDI/A5/2008 Audi A5 2-DR w_SAB.png
2759,2008,AUDI,A6,2008 Audi A6  w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,Optional,70,4,0,2008/AUDI/A6/2008 Audi A6  w_SAB.png
