VehicleId,ModelYear,Make,Model,VehicleDescription,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,CombinedSideBarrierAndPoleRatingFront,CombinedSideBarrierAndPoleRatingRear,SideBarrierRatingOverall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,DynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ImagePath
1489,2005,ACURA,MDX,2005 Acura MDX 4-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,5,5,Not Rated,Not Rated,Not Rated,4,Not Rated,0.151,0,No Tip,Not Rated,Standard,No,No,180,13,5,2005/ACURA/MDX/2005 Acura MDX 4-DR. w_SAB.png
1337,2005,ACURA,NSX-T,2005 Acura NSX-T Convertible,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,1,0,0,2005/ACURA/NSX-T/2005 Acura NSX-T Convertible.png
1490,2005,ACURA,RL,2005 Acura RL 4-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,5,5,Not Rated,Not Rated,Not Rated,5,Not Rated,0.097,0,No Tip,Not Rated,Standard,No,No,125,11,3,2005/ACURA/RL/2005 Acura RL 4-DR. w_SAB.png
1491,2005,ACURA,RSX,2005 Acura RSX 2-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,0,0.113, ,Not Rated,No,No,No,32,2,0,2005/ACURA/RSX/2005 Acura RSX 2-DR. w_SAB.png
1492,2005,ACURA,TL,2005 Acura TL 4-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,4,0,0.103, ,Not Rated,Standard,No,No,387,7,1,2005/ACURA/TL/2005 Acura TL 4-DR. w_SAB.png
1493,2005,ACURA,TSX,2005 Acura TSX  4-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,5,4,Not Rated,Not Rated,Not Rated,Not Rated,4,0,0.118, ,Not Rated,Standard,No,No,51,4,0,2005/ACURA/TSX/2005 Acura TSX  4-DR. w_SAB.png
1460,2005,AUDI,A4,2005 Audi A4 4-DR. w/SAB,,Not Rated,Not Rated,4,4,Not Rated,5,4,Not Rated,Not Rated,Not Rated,4,Not Rated,0.107,0,No Tip,Not Rated,Standard,No,No,219,4,0,2005/AUDI/A4/2005 Audi A4 4-DR. w_SAB.png
1338,2005,AUDI,A4/S4 CABRIOLET,2005 Audi A4/S4 Cabriolet Convertible,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,262,4,0,2005/AUDI/A4/S4 CABRIOLET/2005 Audi A4_S4 Cabriolet Convertible.png
1339,2005,AUDI,A6 SEDAN,2005 Audi A6 Sedan 4-DR w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,91,3,1,2005/AUDI/A6 SEDAN/2005 Audi A6 Sedan 4-DR w_SAB.png
1340,2005,AUDI,A8,2005 Audi A8 4-DR. w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,6,1,0,2005/AUDI/A8/2005 Audi A8 4-DR. w_SAB.png
1341,2005,AUDI,ALLROAD,2005 Audi Allroad 4-DR w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,3,2,1,2005/AUDI/ALLROAD/2005 Audi Allroad 4-DR w_SAB.png
1461,2005,AUDI,S4,2005 Audi S4 4-DR. w/SAB,,Not Rated,Not Rated,4,4,Not Rated,5,4,Not Rated,Not Rated,Not Rated,4,Not Rated,0.107,0,No Tip,Not Rated,Standard,No,No,43,2,0,2005/AUDI/S4/2005 Audi S4 4-DR. w_SAB.png
1462,2005,AUDI,TT,2005 Audi TT 2-DR. Convertible w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,0,0.09, ,Not Rated,Standard,No,No,11,1,0,2005/AUDI/TT/2005 Audi TT 2-DR. Convertible w_SAB.png
1342,2005,BENTLEY,ARNAGE R,2005 Bentley Arnage R 4-DR w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,1,3,0,2005/BENTLEY/ARNAGE R/2005 Bentley Arnage R 4-DR w_SAB.png
1343,2005,BENTLEY,ARNAGE RL,2005 Bentley Arnage RL 4-DR w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,1,2,0,2005/BENTLEY/ARNAGE RL/2005 Bentley Arnage RL 4-DR w_SAB.png
1344,2005,BENTLEY,ARNAGE T,2005 Bentley Arnage T 4-DR w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,1,3,0,2005/BENTLEY/ARNAGE T/2005 Bentley Arnage T 4-DR w_SAB.png
1345,2005,BENTLEY,CONTINENTAL GT,2005 Bentley Continental GT 2-DR w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,1,1,0,2005/BENTLEY/CONTINENTAL GT/2005 Bentley Continental GT 2-DR w_SAB.png
1346,2005,BMW,3 SERIES,2005 BMW 3 Series 2-DR w/SAB,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,227,6,5,2005/BMW/3 SERIES/2005 BMW 3 Series 2-DR w_SAB.png
1463,2005,BMW,3 SERIES,2005 BMW 3 Series 4-DR. w/SAB,,Not Rated,Not Rated,4,5,Not Rated,3,5,Not Rated,Not Rated,Not Rated,Not Rated,4,0,0.109, ,Not Rated,Standard,No,No,227,5,5,2005/BMW/3 SERIES/2005 BMW 3 Series 4-DR. w_SAB.png
