VehicleId,ModelYear,Make,Model,VehicleDescription,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,CombinedSideBarrierAndPoleRatingFront,CombinedSideBarrierAndPoleRatingRear,SideBarrierRatingOverall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,DynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ImagePath
14011,2019,ACURA,ILX,2019 Acura ILX 4 DR FWD,https://static.nhtsa.gov/images/vehicles/13585_st0640_046.png,5,4,5,4,5,5,5,5,5,5,4,Not Rated,0.107,0,No Tip,5,Standard,Standard,Standard,21,4,0,2019/ACURA/ILX/2019 Acura ILX 4 DR FWD.png
13327,2019,ACURA,MDX,2019 Acura MDX SUV FWD,https://static.nhtsa.gov/images/vehicles/12403_st0640_046.png,5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.164,0,No Tip,5,Standard,Standard,Standard,149,6,2,2019/ACURA/MDX/2019 Acura MDX SUV FWD.png
13328,2019,ACURA,MDX,2019 Acura MDX SUV AWD,https://static.nhtsa.gov/images/vehicles/13548_st0640_046.png,5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.164,0,No Tip,5,Standard,Standard,Standard,149,6,2,2019/ACURA/MDX/2019 Acura MDX SUV AWD.png
13329,2019,ACURA,MDX SPORT HYBRID,2019 Acura MDX Sport Hybrid SUV AWD,https://static.nhtsa.gov/images/vehicles/13548_st0640_046.png,5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.164,0,No Tip,5,Standard,Standard,Standard,0,2,1,2019/ACURA/MDX SPORT HYBRID/2019 Acura MDX Sport Hybrid SUV AWD.png
14001,2019,ACURA,NSX,2019 Acura NSX 2 DR AWD,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,0,2,1,2019/ACURA/NSX/2019 Acura NSX 2 DR AWD.png
13081,2019,ACURA,RDX,2019 Acura RDX 4 DR FWD,https://static.nhtsa.gov/images/vehicles/13000_st0640_046.png,5,4,4,4,5,5,5,5,5,5,4,Not Rated,0.165,0,No Tip,5,Standard,Standard,Standard,326,4,0,2019/ACURA/RDX/2019 Acura RDX 4 DR FWD.png
13082,2019,ACURA,RDX,2019 Acura RDX 4 DR AWD,https://static.nhtsa.gov/images/vehicles/12860_st0640_046.png,5,4,4,4,5,5,5,5,5,5,4,Not Rated,0.15,0,No Tip,5,Standard,Standard,Standard,326,4,0,2019/ACURA/RDX/2019 Acura RDX 4 DR AWD.png
13009,2019,ACURA,RLX,2019 Acura RLX 4 DR FWD,https://static.nhtsa.gov/images/vehicles/12480_st0640_046.png,5,5,5,5,5,5,5,5,5,5,5,Not Rated,0.097,0,No Tip,5,Standard,Standard,Standard,0,3,1,2019/ACURA/RLX/2019 Acura RLX 4 DR FWD.png
13010,2019,ACURA,RLX SPORT HYBRID,2019 Acura RLX Sport Hybrid 4 DR AWD,https://static.nhtsa.gov/images/vehicles/12568_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,5,5,5,5,5,5,5,Not Rated,0.097,0,No Tip,5,Standard,Standard,Standard,0,2,2,2019/ACURA/RLX SPORT HYBRID/2019 Acura RLX Sport Hybrid 4 DR AWD.png
13011,2019,ACURA,TLX,2019 Acura TLX 4 DR FWD,https://static.nhtsa.gov/images/vehicles/12081_st0640_046.png,5,5,5,5,5,5,5,5,5,5,5,Not Rated,0.098,0,No Tip,5,Standard,Standard,Standard,67,5,2,2019/ACURA/TLX/2019 Acura TLX 4 DR FWD.png
13012,2019,ACURA,TLX,2019 Acura TLX 4 DR AWD,https://static.nhtsa.gov/images/vehicles/12069_st0640_046.png,5,5,5,5,5,5,5,5,5,5,5,Not Rated,0.098,0,No Tip,5,Standard,Standard,Standard,67,5,2,2019/ACURA/TLX/2019 Acura TLX 4 DR AWD.png
13537,2019,ALFA ROMEO,4C,2019 Alfa Romeo 4C Convertible RWD,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,0,0,0,2019/ALFA ROMEO/4C/2019 Alfa Romeo 4C Convertible RWD.png
14031,2019,ALFA ROMEO,4C SPIDER,2019 Alfa Romeo 4C Spider RWD,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,0,0,0,2019/ALFA ROMEO/4C SPIDER/2019 Alfa Romeo 4C Spider RWD.png
13538,2019,ALFA ROMEO,GIULIA,2019 Alfa Romeo Giulia RWD,https://static.nhtsa.gov/images/vehicles/12453_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,Optional,Optional,24,6,0,2019/ALFA ROMEO/GIULIA/2019 Alfa Romeo Giulia RWD.png
13539,2019,ALFA ROMEO,GIULIA,2019 Alfa Romeo Giulia AWD,https://static.nhtsa.gov/images/vehicles/12453_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,Optional,Optional,24,6,0,2019/ALFA ROMEO/GIULIA/2019 Alfa Romeo Giulia AWD.png
