VehicleId,ModelYear,Make,Model,VehicleDescription,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,CombinedSideBarrierAndPoleRatingFront,CombinedSideBarrierAndPoleRatingRear,SideBarrierRatingOverall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,DynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ImagePath
7518,2013,ACURA,ILX,2013 Acura ILX 4 DR FWD,https://static.nhtsa.gov/images/vehicles/8353_st0640_046.png,5,4,5,4,5,5,5,5,5,5,4,Not Rated,0.107,0,No Tip,4,Standard,No,No,60,6,1,2013/ACURA/ILX/2013 Acura ILX 4 DR FWD.png
7519,2013,ACURA,ILX HYBRID,2013 Acura ILX Hybrid 4 DR FWD,https://static.nhtsa.gov/images/vehicles/8353_st0640_046.png,5,4,5,4,5,5,5,5,5,5,4,Not Rated,0.107,0,No Tip,4,Standard,No,No,0,2,2,2013/ACURA/ILX HYBRID/2013 Acura ILX Hybrid 4 DR FWD.png
7262,2013,ACURA,MDX,2013 Acura MDX SUV 4WD,https://static.nhtsa.gov/images/vehicles/8549_st0640_046.png,4,4,5,4,5,5,5,5,5,5,4,Not Rated,0.14,0,No Tip,4,Standard,Optional,No,27,1,0,2013/ACURA/MDX/2013 Acura MDX SUV 4WD.png
7520,2013,ACURA,RDX,2013 Acura RDX SUV FWD,https://static.nhtsa.gov/images/vehicles/8151_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,151,3,1,2013/ACURA/RDX/2013 Acura RDX SUV FWD.png
7731,2013,ACURA,RDX,2013 Acura RDX SUV 4WD,https://static.nhtsa.gov/images/vehicles/8151_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,151,3,1,2013/ACURA/RDX/2013 Acura RDX SUV 4WD.png
7263,2013,ACURA,TL,2013 Acura TL 4 DR FWD,https://static.nhtsa.gov/images/vehicles/8855_st0640_046.png,4,4,4,3,4,3,4,4,4,4,5,Not Rated,0.093,0,No Tip,5,Standard,No,No,61,3,1,2013/ACURA/TL/2013 Acura TL 4 DR FWD.png
7264,2013,ACURA,TL,2013 Acura TL 4 DR 4WD,https://static.nhtsa.gov/images/vehicles/8855_st0640_046.png,4,4,4,3,4,3,4,4,4,4,5,Not Rated,0.093,0,No Tip,5,Standard,No,No,61,3,1,2013/ACURA/TL/2013 Acura TL 4 DR 4WD.png
7260,2013,ACURA,TSX,2013 Acura TSX 4 DR FWD,https://static.nhtsa.gov/images/vehicles/8548_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.099,0,No Tip,Not Rated,Standard,No,No,31,4,1,2013/ACURA/TSX/2013 Acura TSX 4 DR FWD.png
7261,2013,ACURA,TSX  SPORT WAGON,2013 Acura TSX  Sport Wagon SW FWD,https://static.nhtsa.gov/images/vehicles/8854_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.099,0,No Tip,Not Rated,Standard,No,No,0,3,1,2013/ACURA/TSX  SPORT WAGON/2013 Acura TSX  Sport Wagon SW FWD.png
7265,2013,ACURA,ZDX,2013 Acura ZDX SUV 4WD,https://static.nhtsa.gov/images/vehicles/8779_st0640_046.png,5,4,5,4,5,5,5,5,5,5,4,Not Rated,0.13,0,No Tip,5,Standard,No,No,0,5,0,2013/ACURA/ZDX/2013 Acura ZDX SUV 4WD.png
