VehicleId,ModelYear,Make,Model,VehicleDescription,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,CombinedSideBarrierAndPoleRatingFront,CombinedSideBarrierAndPoleRatingRear,SideBarrierRatingOverall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,DynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ImagePath
3915,1998,ACURA,TL,1998 Acura TL 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,26,2,0,1998/ACURA/TL/1998 Acura TL 4-DR..png
3905,1998,AUDI,A8,1998 Audi  A8 4-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,7,3,1,1998/AUDI/A8/1998 Audi  A8 4-DR. w_SAB.png
3852,1998,BUICK,CENTURY,1998 Buick Century 4-DR.,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,251,4,4,1998/BUICK/CENTURY/1998 Buick Century 4-DR..png
3916,1998,BUICK,LESABRE,1998 Buick LeSabre 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,3,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,454,1,2,1998/BUICK/LESABRE/1998 Buick LeSabre 4-DR..png
3828,1998,BUICK,REGAL,1998 Buick Regal 4-DR,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,325,7,6,1998/BUICK/REGAL/1998 Buick Regal 4-DR.png
3829,1998,BUICK,SKYLARK,1998 Buick Skylark 4-DR.,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,1,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,37,3,0,1998/BUICK/SKYLARK/1998 Buick Skylark 4-DR..png
3875,1998,CADILLAC,DEVILLE,1998 Cadillac Deville 4-DR. w/SAB,,Not Rated,Not Rated,4,4,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,266,3,3,1998/CADILLAC/DEVILLE/1998 Cadillac Deville 4-DR. w_SAB.png
3874,1998,CHEVROLET,ASTRO,1998 Chevrolet Astro  4x2,,Not Rated,Not Rated,3,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,293,6,0,1998/CHEVROLET/ASTRO/1998 Chevrolet Astro  4x2.png
3865,1998,CHEVROLET,BLAZER,1998 Chevrolet Blazer 4-DR. 4x4,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,782,3,1,1998/CHEVROLET/BLAZER/1998 Chevrolet Blazer 4-DR. 4x4.png
3880,1998,CHEVROLET,C/K,1998 Chevrolet C/K Extended Cab,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,1070,4,5,1998/CHEVROLET/C/K/1998 Chevrolet C_K Extended Cab.png
