ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
558365,"Chrysler (FCA US, LLC)",0,0,0,0,,12/28/2000,,STEERING,THE PITMAN ARM TAPPERED STUD CONNECTING TO THE CENTER LINK SHEARED CAUSING LOSS OF STEERING CONTROL.   *MJS,AMERICAN MOTORS,EAGLE
861305,"Chrysler (FCA US, LLC)",0,0,0,0,,05/03/2000,NOT AVAILAB,"FUEL SYSTEM, GASOLINE","ROLLOVER CHECK VALVE HAS FAILED, CAUSING EXCESSIVE PRESSURE TO BUILD UP WITHIN THE FUEL SYSTEM, RESULTING IN  A FUEL LEAK. CONSUMER HAS CONTACTED  DEALER AND THE MANUFACTURER. MANUFACTURE STATED THAT THEY NO LONGER MAKE THE PARTS TO CORRECT THE PROBLEM. PLEASE PROVIDE ANY FURTHER DETAILS.  *AK",AMERICAN MOTORS,EAGLE
487697,"Volkswagen Group of America, Inc.",1,0,1,0,10/31/1995,11/03/1995,WAUGB0436CN,POWER TRAIN,"CAR WAS PUT IN REVERSE, SUDDENLY ACCELERATED OUT OF CONTROL, CAUSING ACCIDENT. *DSH",AUDI,5000
976186,"Volkswagen Group of America, Inc.",1,0,1,0,10/31/1995,12/06/1995,,VEHICLE SPEED CONTROL,CONSUMER PUT CAR INTO REVERSE AND IT ACCELERATED AND CAUSED AN ACCIDENT INJURING HER SHOULDER .  TT,AUDI,5000
718476,"BMW of North America, LLC",0,0,0,0,,02/08/2000,WBAAG4305C8,ELECTRICAL SYSTEM,NO SUMMARY LISTED FOR ABOV EVEHICLE.  *AK,BMW,320I
488565,"BMW of North America, LLC",0,1,0,0,09/18/1995,09/18/1995,,"FUEL SYSTEM, GASOLINE",REAR MOUNTED GAS TANK CAUGHT FIRE DURING COLLISION. *SD,BMW,BMW
488079,"General Motors, LLC",0,0,0,0,10/01/1995,11/11/1995,,POWER TRAIN,"TORQUE CONVERTER CLUTCH LOCKS UP, CAUSING VEHICLE TO STALL.  *AK",BUICK,CENTURY
503597,"General Motors, LLC",0,0,0,0,01/01/1988,03/28/1996,1G4AH19EBCD,STEERING,"POWER STEERING PART WORN, CAUSING LEAK/STEERING DIFFICULTY. *DSH",BUICK,CENTURY
802649,"General Motors, LLC",0,0,0,0,,09/19/1996,1G4AL19E0C4,STEERING,"CONSUMER WAS THE THIRD OWNER,  THE POWER STEERING IS HARD TO TURN IN WINTER AND WHEN TRYING TO MAKE A LEFT TURN IT IS EVEN HARDER. PLEASE DESCRIBE.*AK",BUICK,CENTURY
834907,"General Motors, LLC",0,0,0,0,02/17/1998,02/17/1999,,VEHICLE SPEED CONTROL,"WHILE DRIVING AT ANY SPEED AND WHEN APPLYING THE BRAKES CRUISE CONTROL WILL DISENGAGE,  CAUSING VEHICLE TO  TAKE OFF.  *AK",BUICK,LESABRE
505966,"General Motors, LLC",1,0,2,0,06/19/1996,07/03/1996,1G4AM4749CH,VEHICLE SPEED CONTROL,"SUDDEN ACCELERATION, CAUSING ACCIDENT/INJURIES. *SD",BUICK,REGAL
