ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
514043,"General Motors, LLC",0,0,0,0,01/19/1995,01/30/1997,,"SERVICE BRAKES, HYDRAULIC","BRAKES FAILED, CAUSING ACCIDENT. (NEW JERSEY STATE POLICE REPORT)",BUICK,BUICK
727405,"General Motors, LLC",0,0,0,0,08/03/2000,08/09/2000,,TIRES,"THE FIRST TIRE FAILED AT ABOUT 70 MPH. THE ENTIRE RUBBER TREAD PEALED AWAY FROM THE TIRE CASING. ALTHOUGH THE CAR SWERVED BADLY I MANAGED TO STOP WITHOUT GETTING INTO AN ACCIDENT. THE PEELING RUBBER CAUSED EXTENSIVE DAMAGE. THE DEALER (STRAUS DISCOUNT AUTO) REFUSED TO ACCEPT ANY RESPONSIBILITY AND SAID ""IT WAS NOT A MANUFACTURING DEFECT"". ABOUT 2 MONTHS LATER THE RIGHT SIDE TIRE FAILED AT ABOUT THE SAME SPEED, (AGAIN CAUSING EXTENSIVE DAMAGE.)( DOT NUMBER:   TIRE SIZE: P215 75R15 )",BUICK,LESABRE
816855,"General Motors, LLC",0,1,0,0,04/01/1996,10/03/1997,CE241F81002,ELECTRICAL SYSTEM,"WHILE DEFECTIVE TURN SIGNAL WAS ON, SMOKE CAME FROM THE STEERING COLUMN AND UNDERNEATH THE DASH,  CAUSING A ELECTRICAL FIRE WHICH CAUSED HARM TO THE OCCUPANT. MFR IS AWARE OF PROBLEM, BUT HASN'T FIXED THE VEHICLE. MANUFACTURER TOLD OCCUPANT NOT TO CONTACT NHTSA.   *AK",CHEVROLET,C20
553961,"General Motors, LLC",0,0,0,0,,08/23/2000,,TIRES,"IN 1991 CONSUMER PURCHASED A FULL SET OF BRIDGESTONE, DUELERS.  TWO OF THE TIRES WERE MOUNTED, ABOUT TWO YEARS LATER, WHILE DRIVING AT 60 MPH, ONE OF THE TIRES BLEW OUT.  FOUR YEARS LATER, THE SECOND TIRE BLEW OUT. ALSO, A COUPLE OF MONTHS LATER, THIRD TIRE SUFFERED AN INTERNAL FAILURE, WHICH CAUSED THE TIRE TO LOSE IT'S FLATNESS AND BECOME ""V"" SHAPED.   CJBECOME ""V"" SHAPED.   CJ",CHEVROLET,G20
489995,"Chrysler (FCA US, LLC)",0,0,0,0,05/09/1995,05/09/1995,,VEHICLE SPEED CONTROL,ACCELERATOR PEDAL STUCK.  *AW,DODGE,DODGE
10235452,Ford Motor Company,0,0,0,0,07/14/2008,07/23/2008,F35HRL41618,TIRES,"TL*THE CONTACT OWNS A 1971 FORD F-350.  THE VEHICLE HAS TWO REAR FUJIAMI ENDURO TIRES, SIZE LT 235/85R16 EPLY (NA).  WHILE DRIVING 35-60 MPH, THE VEHICLE WANDER OVER THE ROAD.  THE VEHICLE HAS TO BE SLOWED DOWN TO LESS THAN 60 MPH FOR THE CONTACT TO REMAIN IN CONTROL.  HE STATED THAT HE FEELS LIKE HE IS DRIVING ON ICE.  IT IS VERY DIFFICULT AND DANGEROUS TO DRIVE WITH THESE TIRES ON THE VEHICLE.  THE CONTACT HAD PLACED APPROX. 100 MILES ON THE TIRES AT THE TIME THEY WERE REMOVED.  THE VIN WAS UNKNOWN.  THE CURRENT AND FAILURE MILEAGES WERE 300,000.  UPDATED 09/15/08 *BF       THE CONSUMER STATED HE REPLACED THE TIRES AND THE PROBLEM HAS BEEN RECTIFIED. UPDATED 09/17/08. *JB",FORD,F SERIES
10263763,Ford Motor Company,0,0,0,0,01/03/2003,03/31/2009,,"SERVICE BRAKES, HYDRAULIC",1. IF THE TRUCK WAS NOT MOVED IN A COUPLE DAYS U HAD TO BLEED THE BRAKES BACK OUT SO REPLACED ALL THE LINE AND WHEEL SEALS.  2.THE BRAKE LEAK DOWN AND THEN I DON'T HAVE BREAKS IT OCCURS EVERY 2 TO 3 DAYS I HAVE TO ADD FLUID   3.I TOOK IT TO THE FORD PLACE BY THE HOUSE AND THE MECHANIC SAID THERE WAS 2 RECALLS WITH THE BRAKES ON THE TRUCKS  AND HE SAID TO CONTACT U AND HE GAVE ME THE NUMBERS OF THE RECALLS THE FIRST ONE IS 71V024000 OR 7IV025000 THE SECOND IS 71V025000 OR 7IV024000 HE SAID YA'LL WOULD HAVE TO SEND A PAPER SO HE COULD GET THE PARTS AND FIX IT FOR ME. BEING THAT THERE WAS A RECALL. *TR,FORD,F700
10291251,Ford Motor Company,0,0,0,0,11/02/2009,11/06/2009,,TIRES,"TL* THE CONTACT OWNS A 1972 FORD F600 DUMP TRUCK(NA).  HE PURCHASED TWO CARLISLE INNER TUBES ALONG WITH TWO NEW TIRES. WHILE DRIVING THE PASSENGER FRONT TIRE  BLEW-OUT. HE REPLACED THE TIRE WITH A SPARE TIRE.  AFTER DRIVING FOR APPROXIMATELY 100 MILES, THE OTHER NEW TIRE BLEW OUT. HE SPECULATED THAT THE INNER TUBES  CAUSED THE TIRES TO FAIL. THE SALESMAN THAT SOLD HIM THE TIRE STATED THAT THEY WERE COMMUNICATING  WITH THE MANUFACTURER REGARDING THE FAILURE. THE CURRENT AND FAILURE MILEAGES WERE 76,116. THE VEHICLE IDENTIFICATION NUMBER WAS UNAVAILABLE.",FORD,F700
730011,Ford Motor Company,0,0,0,0,07/25/1997,09/03/2000,F10GCL88362,TIRES,"PURCHASED A TOTAL OF FOUR TIRES FROM L.R. HOOK TIRE CO.,P.O. BOX 1154, LEXINGTON, S.C. 29072 (FIRESTONE FRANCHISED DEALER). THE FAILURE THAT OCCURRED WAS THE TOTAL SEPARATION OF THE TREAD FROM THE TIRE. EVEN THOUGH I HAD HAZZARD INSURANCE ON ALL OF THE TI( DOT NUMBER: VDHL1M6X49 TIRE SIZE: 23575R-15 )",FORD,RANCH WAGON
556485,LANDAU MOTOR HOME,0,0,0,0,,10/17/2000,,TIRES,"THE TREAD ON THE RIGHT REAR FIRESTONE TIRE SEPARATED, HIT AND DAMAGED THE FENDER AND THE TIRE BLEWOUT.  NLM",LANDAU,LANDAU
