ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
489964,Honda (American Honda Motor Co.),0,0,0,0,05/11/1995,05/11/1995,JH4DA9346NS,POWER TRAIN,CLUTCH PEDAL WOULD NOT DEPRESS.   *TW,ACURA,INTEGRA
502877,Honda (American Honda Motor Co.),0,0,0,0,03/18/1996,03/25/1996,JH4DB2383N5,ENGINE AND ENGINE COOLING,ENGINE TIMING BELT FAILED. *SD,ACURA,INTEGRA
506404,Honda (American Honda Motor Co.),0,0,0,0,,07/19/1996,JH4DA935XN5,SEAT BELTS,"AUTOMATIC SEAT BELTS WILL NOT RETRACT CORRECTLY, WHEN OUTSIDE TEMPERATURE IS ABOVE EIGHTY TO EIGHTY FIVE DEGREES.",ACURA,INTEGRA
545646,Honda (American Honda Motor Co.),1,0,1,0,04/05/1999,05/18/1999,JH4KA7665NC,"SERVICE BRAKES, HYDRAULIC,AIR BAGS","ANTI LOCK BRAKES FAILED RESULTING IN VEHICLE COLLISION, NO DEPLOYMENT OF BOTH DRIVER AND PASSENGER AIRBAGS DURING VEHICLE COLLISION. MJS",ACURA,INTEGRA
549965,Honda (American Honda Motor Co.),0,0,0,0,10/19/1999,12/14/1999,JH4DA945INS,ELECTRICAL SYSTEM,"DISTRIBUTOR ROTOR AND UNNIT FAILED AND MELTED, EXTENDED WARRANTY WAS ISSUED FOR DISTRIBUTOR ASSEMBLY, HOWEVER VEHICLE DID NOT QUALIFY FOR WARRANTY WORK.   *MJS",ACURA,INTEGRA
566142,Honda (American Honda Motor Co.),0,0,0,0,04/16/1997,06/19/2002,JH4DA9474NS,"SERVICE BRAKES, HYDRAULIC",OVER THE PAST TEN(10) YEARS CONSUMER HAS HAD THE ABS SYSTEM REPLACED THREE(3) TIMES.  THE MODULATOR AND ACCUMULATOR WERE REPLACED.*JG,ACURA,INTEGRA
703232,Honda (American Honda Motor Co.),0,0,0,0,,02/12/1999,JH4DA9455NS,"ENGINE AND ENGINE COOLING,POWER TRAIN","MY CAR HAS A NOTICEABLE VIBRATION IN THE ENGINE WHEN IDLING DOWN, BUT A TREMENDOUS VIBRATION WHEN IN REVERSE AND WHEN THE A/C IS ON.  IT ALSO HAS A VIBRATION WHEN IT IS DOWN SHIFTING TO SECOND GEAR.  I HAVE HAD ALL OF MY MOTOR MOUNTS REPLACED AS RECOMMENDED BY THE ACURA DEALER.  I HAVE HAD MY CAR CHECKED NUMEROUS TIMES, TO BE TOLD BY THE TECHNICIANS THAT THEY HAVE NO CLUE AS TO WHY THE CAR IS STILL VIBRATING.  IF YOU OFFER AND EXPLANATION OR ADVICE AS TO HOW TO HANDLE THIS, IT WOULD BE GREATLY APPRECIATED.  THIS IS A PROBLEM THAT HAS EXISTED UNRESOLVED FOR THE LAST PAST TWO YEARS.  THANK YOU.",ACURA,INTEGRA
736039,Honda (American Honda Motor Co.),0,0,0,0,11/04/2000,11/09/2000,JH4DA9351NS,ELECTRICAL SYSTEM,"WAITING AT A STOP LIGHT IN AN INTERSECTION CAR WARNING LIGHTS LIT UP AND CAR DIED - UNABLE TO RESTART CAR AND HAD TO BE TOWED TO THE DEALER.  INTERIOR SMELLED LIKE SOMETHING WAS BURNING.  ACURA DEALER DIAGNOSED PROBLEM AS IGNITION COIL, DISTRIBUTOR CAP, ROTOR AND REPLACED.  AFTER REPLACING PARTS CAR CONTINUED TO DIE - DEALER SAID IT NOW APPEARS THE ELECTRONIC CONTROL MODULE IS FAULTY AND NEEDS TO BE REPLACED.  I HAVE DONE SOME SEARCHES ON THE INTERNET THAT POINT TO A TECHNICAL SERVICE BULLETIN 96-015 RECALL;PROD.UPDATE CAMPAIGN 92-93 INTEGRA DISTRIBUTOR & TSB 96-022 WARRANTY EXTENSION '92 - '93 INTEGRA DISTRIBUTOR.  THIS POINTS TO A DEFECT IN THE DISTRIBUTOR SYSTEM WHICH SHOULD BE REPAIRED AT NO COST TO THE CONSUMER.*AK",ACURA,INTEGRA
780726,Honda (American Honda Motor Co.),0,0,0,0,09/20/1998,10/06/1998,,ELECTRICAL SYSTEM,COMPUTER MODULE FAILURE.,ACURA,INTEGRA
806427,Honda (American Honda Motor Co.),0,0,0,0,12/09/1996,12/16/1996,,VISIBILITY,"THE RAER PASSENGER'S SIDE WINDOW CRACKED,  IT WAS HIT BY A BRANCH.   *AK",ACURA,INTEGRA
