ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
478733,Honda (American Honda Motor Co.),0,0,0,0,12/01/1992,04/23/1994,UNK,"SERVICE BRAKES, HYDRAULIC",FRONT RIGHT DISC BRAKE STUCK.  *AK,ACURA,INTEGRA
486088,Honda (American Honda Motor Co.),0,0,0,1,04/04/1995,05/10/1995,,SEAT BELTS,"SEAT BELT LATCH DISENGAGED DURING ACCIDENT, RESULTING IN DEATH.  *AW",ACURA,INTEGRA
511693,Honda (American Honda Motor Co.),0,0,0,0,10/01/1996,11/26/1996,JH4DA9463MS,"SERVICE BRAKES, HYDRAULIC",ABS BRAKES ACTIVATED UNDER NORMAL BRAKING WHEN CAR WENT OVER SMALL BUMPS/SMALL NOISE HEARD AND VEHICLE ONLY OCCASIONALLY STOPPED.  *AK,ACURA,INTEGRA
513642,Honda (American Honda Motor Co.),0,0,0,0,,01/22/1997,,VISIBILITY,POWER WINDOW MOTOR HAS OPERATED ERRATICALLY.  *AK,ACURA,INTEGRA
517949,Honda (American Honda Motor Co.),0,0,0,0,,07/02/1997,,SEAT BELTS,"AUTOMATIC SEAT BELT JAMMED, PINNING PASSENGER IN SEAT.  *AK",ACURA,INTEGRA
518119,Honda (American Honda Motor Co.),0,0,0,0,,07/11/1997,,SEAT BELTS,"RIGHT FRONT AUTOMATIC SEAT BELT JAMMED, PINNING PASSENGER IN SEAT.  *AK",ACURA,INTEGRA
533675,Honda (American Honda Motor Co.),0,0,0,0,,04/07/1998,,POWER TRAIN,DIFFERENTIAL UNIT FAILED DUE TO PIN BREAKING.,ACURA,INTEGRA
535671,Honda (American Honda Motor Co.),0,0,0,0,01/01/1993,05/17/1998,JH4DA9358MS,EQUIPMENT,AIR CONDITIONER ACCUMULATES MOLD.,ACURA,INTEGRA
535738,Honda (American Honda Motor Co.),0,0,0,0,12/01/1996,05/17/1998,JH4DA9358MS,VISIBILITY,BUTTONS ON VENTS AND CLIMATE CONTROL BUTTONS DO NOT STAY PUSHED/LIT AND AIR DISTRIBUTION DOESN'T WORK.,ACURA,INTEGRA
706749,Honda (American Honda Motor Co.),0,0,0,0,05/18/1999,05/22/1999,JH4DB1577MS,"SERVICE BRAKES, HYDRAULIC",ABS MASTER CYLINDER LEAKS. LOOSE HYDRAULIC PRESSURE WHEN STOPPING. MUST PUMP PEDAL TO STOP AND KEEP CAR FROM ROLLING. PEDAL WILL MOVE TO THE FLOOR.,ACURA,INTEGRA
707135,Honda (American Honda Motor Co.),0,0,0,0,,06/02/1999,JH4NA1152MT,POWER TRAIN,"THE REFERENCED PART HAS BEEN CITED IN MANUFACTURER'S TECHNICAL SERVICE BULLETIN (TSB NO. 93-010). THE TSB CLEARLY CITES A DEFECT CODE (NO.042) ,BUT ACURA CLAIMS IT IS NOT A DEFECT. THE SYMPTOMS CITED ON THE TSB ARE THE SAME AS THE ONES MY CAR IS EXPERIENCING. ACURA CLAIMS THE TSB IS ONLY A MECHANIC'S GUIDELINE AND DOES NOT INDICATE A DEFECT. *AK",ACURA,INTEGRA
707136,Honda (American Honda Motor Co.),0,0,0,0,10/10/1995,06/02/1999,,UNKNOWN OR OTHER,HORN WILL NOT ACTIVATE IN COLD WEATHER. TEMPERATURE HAS TO WARM TO APPROX. 68-70 DURING WINTER MONTHS BEOFE HORN WILL WORK AT ALL. REPORTED TO DEALER SHIP.  *AK,ACURA,INTEGRA
709038,Honda (American Honda Motor Co.),0,0,0,0,07/11/1999,07/23/1999,JH4DA9358MS,SUSPENSION,"FRONT RIGHT COIL RUSTED AND BROKE.  MECHANIC SAID DUE TO PLASTIC SHEATHING CRACKED ALLOWING WATER TO ENTER AND RUST COIL.  MECHANIC SAID HE HAS SEEN THIS VERY ISSUE MANY TIME, BUT MOSTLY ON THE LEFT FRONT COIL.",ACURA,INTEGRA
784304,Honda (American Honda Motor Co.),0,0,0,0,08/25/1996,11/09/1999,JH4DB1653MS,POWER TRAIN,"TRANSMISSION FAILED AT 68000 MILES AND REQUIRED COMPLETE REPLACEMENT, THE MECHANIC REPORTED TO THE CONSUMER THAT THE TRANSMISSION WAS ASSEMBLED IMPROPERLY CAUSING A LOOSE BOLT INSIDE THE TRANSMSSION TO GET SHOT OUT WITH SUCH FORCE AS TO CREATE A HOLE IN THE TRANSMISSION CASE THE SIZE OF A QUARTER.  *MJS",ACURA,INTEGRA
809589,Honda (American Honda Motor Co.),0,0,0,0,03/01/1997,03/03/1997,,ENGINE AND ENGINE COOLING,"ENGINE: WHILE DRIVING ALONG VEHICLE STALLED AND WOULD NOT RESTART. VEHICLE HAD TO BE TOWED, TOW TRUCK DRIVER SAID IT WAS TIMING BELT.   *AK",ACURA,INTEGRA
809905,Honda (American Honda Motor Co.),0,0,0,0,11/15/1996,03/12/1997,JH4DB166MS0,SEAT BELTS,"GETTING IN VEHICLE, ALARM FOR SEAT BELT WENT OFF AFTER INSERTING KEY, ALARM DID NOT STOP; TOOK TO DEALER TWICE, COULD NOT FIND/FIXED PROBLEM;  ALARM STILL ON; TAKING TO ANOTHER DEALER; HAD INFORMED MANUFACTURER, NO RESPONSE; UNPLUGGED FUSE TO SHUT OFF ALARM.   *AK",ACURA,INTEGRA
816370,Honda (American Honda Motor Co.),0,0,0,0,01/15/1991,09/15/1997,JH4DB1564MS,"SERVICE BRAKES, HYDRAULIC","ANTI- LOCK BRAKE SYSTEM (ABS) PUMP FAILED, RUNS CONTINOUSLY. ABS DOES NOT PUMP AIR INTO BRAKES AS DESIGNED, COULD CAUSE BRAKE LOCK UP/CRASH; DEALER HAS NOT FOUND CAUSE.   *AK",ACURA,INTEGRA
829599,Honda (American Honda Motor Co.),0,0,0,0,10/24/1998,10/27/1998,JH4DA934XMS,"FUEL SYSTEM, GASOLINE",INTERMITTENTLY WHILE DRIVING THE VEHICLE WILL JUST CUT OFF WITHOUT ANY WARNING IN THE MIDDLE OF TRAFFIC.  DEALER HAS BEEN NOTIFIED.  *AK,ACURA,INTEGRA
835238,Honda (American Honda Motor Co.),0,0,0,0,02/25/1999,02/25/1999,JH4DEB1540M,SEAT BELTS,"WHILE DRIVING VEHICLE BETWEEN 15 AND 20 MPH  EVERY TIME A BUMP OR A DITCH IS HIT, THE SEAT BELT UNLATCHES AS IF CONSUMER HAD OPENED THE DOOR.  SOMETIMES THE BELT DOES NOT WORK AT ALL.  TOOK VEHICLE TO DEALER, SAID THAT THE DOOR LATCH WAS CAUSING THE PROBLEM.  OWNER HAS FOUND NO PROBLEM WITH THE DOOR LATCH.  PROBLEM STILL EXISTS.  *AK *ML",ACURA,INTEGRA
862308,Honda (American Honda Motor Co.),0,0,0,0,05/02/2000,05/22/2000,JH4DA9340MS,SEAT BELTS,"AUTOMATIC DRIVER'S  SIDE  SEAT BELT RETRACTOR IS NOT WORKING, IT WON'T RETRACT WHEN STARTING THE CAR. CONSUMER IS NOT PROPERLY RESTRAINED ON  DRIVER'S SIDE.",ACURA,INTEGRA
865536,Honda (American Honda Motor Co.),0,0,0,0,,07/17/2000,JH4DA9460NS,"SERVICE BRAKES, HYDRAULIC",ABS ANTI-LOCK BRAKES ARE INOPERABLE.  WHEN  CONSUMER WAS  DRIVING THERE WAS A CLUNKING NOISE.  BUT WHEN HE APPLIED  BRAKES THERE WAS NO NOISE.  PUMP FROM THE ANTI-LOCK BRAKES NEEDED TO BE REPLACED.*AK,ACURA,INTEGRA
868174,Honda (American Honda Motor Co.),0,0,0,0,03/21/2000,08/21/2000,,SEAT BELTS,DRIVER'S SIDE SEATBELT RETRACTOR IS NOT WORKING PROPERLY.  WHEN GOING OVER A BUMP  BELT RETRACTS AS IF SOMEONE OPENED THE DOOR.  *AK,ACURA,INTEGRA
880486,Honda (American Honda Motor Co.),0,0,0,0,02/08/2001,02/13/2001,,"FUEL SYSTEM, GASOLINE","CONSUMER HAD FILLED  GAS TANK, AND  NEXT DAY CAR STARTED TO HESITATE LIKE THERE WAS NO GAS, AND THEN CUT OFF.   CURRENTLY,  IT WON'T START. TOOK TO A MECHANIC,  AND HE SAID IT WAS CURRENT  THAT GOING INTO DISTRIBUTOR, BUT NOT COMING OUT.  *AK",ACURA,INTEGRA
895806,Honda (American Honda Motor Co.),0,0,0,0,08/29/2001,09/05/2001,JH4D89344MS,SEAT BELTS,"DRIVER'S SEAT BELT IS STUCK IN  FORWARD POSITION AND   WILL NOT RETRACT. DEALER HAD TRIED TO REPAIR  SEAT BELT, BUT FAILED TO DO SO.   PLEASE PROVIDE MORE INFORMATION.*AK",ACURA,INTEGRA
965761,Honda (American Honda Motor Co.),0,0,0,0,10/01/1993,05/22/1995,,SEAT BELTS,THE DRIVER AND PASSENGER SIDE SEAT BELT RETRACTOR WHEN OPEN DOOR IT LOCK UP.  TT,ACURA,INTEGRA
965854,Honda (American Honda Motor Co.),0,0,0,0,05/24/1995,05/25/1995,,VISIBILITY,"CHILD PUSHED HER NOSE AGAINST THE WINDSHIELD AND THE WINDSHIELD SHATTERED, WINDOW WAS NOT CRACK.  TT",ACURA,INTEGRA
967392,Honda (American Honda Motor Co.),0,0,1,0,05/20/1995,06/21/1995,,SEAT BELTS,THE CAR WAS OFF AND THE AUTOMATIC SEATBELT WRAPPED AROUND HER NECK AND SHE COULD NOT BREATHE.  TT,ACURA,INTEGRA
969779,Honda (American Honda Motor Co.),1,0,1,0,05/02/1995,08/03/1995,,SEAT BELTS,DRIVER SIDE SEAT BELT DID NOT WORK WHEN ACCIDENT OCCURED.  TT,ACURA,INTEGRA
970784,Honda (American Honda Motor Co.),1,0,1,0,09/10/1991,08/21/1995,,"SERVICE BRAKES, HYDRAULIC",THEY DID NOT ACTIVATE WHEN APPLIED DUE TO THE MASTER CYLINDER DID NOT WORK AND THE PEDAL WENT TO THE FLOOR. PLEASE DESCRIBE.  TT,ACURA,INTEGRA
973815,Honda (American Honda Motor Co.),0,1,0,0,10/24/1995,10/24/1995,,"FUEL SYSTEM, GASOLINE",THE ENGINE CAUGHT FIRE WHEN THE CAR WAS OFF.  TT,ACURA,INTEGRA
981363,Honda (American Honda Motor Co.),0,0,0,0,03/20/1996,03/28/1996,,POWER TRAIN,"AUTO-TRANSMISSION; WHILE DRIVING 25 TO 30 MPH, SYSTEM FAILED COMPLETELY LEAVING OWNER ON ROAD. ONLY MOVEMENT WAS BY HAVING IT TOWED. PLEASE DESCRIBE DETAILS.",ACURA,INTEGRA
8010456,Honda (American Honda Motor Co.),0,0,0,0,12/15/2001,05/24/2002,JH4DA9346MS,ELECTRICAL SYSTEM,IGNITION SWITCH KEEPS BURNING OUT AND HAS TO BE REPLACED. PLEASE ADD FURTHER INFORMATION.*AK,ACURA,INTEGRA
10023566,Honda (American Honda Motor Co.),0,0,0,0,12/01/2001,06/22/2003,JH4DA9340MS,SEAT BELTS,PASSENGER AUTOMATIC SEAT BELT RANDOMLY OVER-RETRACTS AS PASSENGER DOOR IS CLOSED AND SEAT IS OCCUPIED. BELT ONLY LOOSENS IF DOOR IS RE-OPENED.    *NLM,ACURA,INTEGRA
10025803,Honda (American Honda Motor Co.),0,0,0,0,07/10/2003,07/10/2003,,STRUCTURE,CLEAR COAT PAINT IS PEELING-OFF.  *AK,ACURA,INTEGRA
