ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
474849,Honda (American Honda Motor Co.),0,0,0,0,09/21/1994,10/21/1994,,POWER TRAIN,TRANSMISSION FAILED.     *TW,ACURA,INTEGRA
488423,Honda (American Honda Motor Co.),0,0,0,0,01/01/1993,09/25/1995,,SEAT BELTS,DRIVERS MOTORBELT DOES NOT MOVE ON TRACK. *DSH,ACURA,INTEGRA
500670,Honda (American Honda Motor Co.),0,0,0,0,11/13/1995,01/02/1996,JH4DA9452LS,SEAT BELTS,POWER SEAT BELT MOTOR FAILED PRIOR TO RECALL. *SD,ACURA,INTEGRA
537686,Honda (American Honda Motor Co.),0,0,0,0,06/18/1998,07/02/1998,JH4DA9446LS,ENGINE AND ENGINE COOLING,VEHICLE STALLED WHILE DRIVING 35 MPH ON A FOUR LANE UNDIVIDED HIGHWAY. DRIVER WAS ABLE TO AVOID TRAFFIC BY SHIFTING LANES AND TURNING ONTO A SIDE STREET BEFORE COMING TO A COMPLETE STOP.,ACURA,INTEGRA
556385,Honda (American Honda Motor Co.),0,0,0,0,04/27/2000,10/24/2000,JH4DB1657L5,TIRES,"CONSUMER PURCHASED TWO NEW FIRESTONE FIREHAWK TIRES WHICH WERE MOUNTED ON THE FRONT, CONSUMER DROVE VEHICLE 24 MILES WHEN THE RIGHT FRONT TIRE SEPARATED CAUSING TEMPORARY LOSS OF CONTROL, NO COLLISION.  *MJS",ACURA,INTEGRA
601915,Honda (American Honda Motor Co.),0,0,0,0,08/01/1991,10/29/1996,JH4DA9354LS,POWER TRAIN,FRONT AXLE CRACKED.,ACURA,INTEGRA
701316,Honda (American Honda Motor Co.),0,0,0,0,09/30/1997,12/13/1998,JH4DB1668LS,POWER TRAIN,"TRANSMISSION WAS DIAGNOSED AND REPLACED BY AN ACURA DEALERSHIP, MIKE HARVEY ACURA IN BURLINGAME, CA.  THEY NOTED THAT THIS WAS THE FIRST TRANSMISSION THAT NEEDED COMPLETE REPLACEMENT ON THIS VEHICLE MODEL AND YEAR.  HOWEVER, ANOTHER FRIEND HAS THE SAME 1990 INTEGRA GS AUTOMATIC AND WAS RECENTLY ASSESSED BY AN ACURA DEALER AS NEEDING A COMPLETE TRANSMISSION REPLACEMENT.  *MJS",ACURA,INTEGRA
701319,Honda (American Honda Motor Co.),0,0,0,0,12/01/1997,12/13/1998,JH4DA9465LS,POWER TRAIN,AUTOMATIC TRANSMISSION BEGAN TAKING LONGER TO SHIFT UP INTO 3RD AND 4TH GEARS  AT COLD WEATHER.  YH,ACURA,INTEGRA
704197,Honda (American Honda Motor Co.),0,0,0,0,09/14/1998,03/09/1999,JH4DA9446LS,"SERVICE BRAKES, HYDRAULIC,ENGINE AND ENGINE COOLING,POWER TRAIN,ELECTRICAL SYSTEM","BRAKES - I HAVE HAD TO REPLACE ALL 4 CALIPERS. EACH CALIPER FAILURE REQUIRED ME ALSO TO REPLACE THAT PAIR OF ROTORS. I AM CURREBTLY ON MY 3RD MASTER CYLINDER. EACH FAILURE HAS BEEN CHARACTERIZED BY PEDAL FADING AT INTERSECTION AND CAR ROLLING INTO INTERESCTION. ACCIDENT AVOIDED BY PULLING UP THE HANDBRAKE OR PUTTING CAR IN REVERSE. FAILURE IN EQUALIZER RESULTS IN SEVERE PULLING TO ONE SIDE UNDER HARD BRAKING. ELECTRICAL - CAR STALLED AT 55 MPH. DESPITE LOSS OF POWER STEERING, I WAS ABLE TO SUCCESSFULLY AVOID OTHER VEHICLES, MANEUVER TO A SIDE STREET AND BRING VEHICLE TO A SAFE STOP. GAGES - THERE IS A LOUD SQUEAKING/RATTLE COMING FROM THE SPEEDOMETER GAGE. I AM UNCERTAIN WHETHER IT AFFECTS THE ACCURACY OF THE REPORTED SPEED.   CAM SHAFT - OIL LEAK FROM SEAL ON LEFT SIDE JUST BEHIND THE DISTRIBUTER CAP",ACURA,INTEGRA
708215,Honda (American Honda Motor Co.),0,0,0,0,07/03/1999,07/04/1999,JH4DA9348LS,VISIBILITY,BLOWER FAN STUCK AT LOW SPEED.  SWITCH POSITION MAKES NO CHANGE EXCEPT WHEN IN OFF POSITION.  FUSES ALL OKAY AND FAN MOTOR PROBLEM MAYBE.  STRONG ELECTRICAL SMELL ANYTIME FAN IS TURNED ON.  NO SMOKE IN INTERIOR THOUGH.,ACURA,INTEGRA
