ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
514688,"Chrysler (FCA US, LLC)",0,0,0,0,01/18/1997,02/11/1997,,ENGINE AND ENGINE COOLING,ENGINE FIRE.,AMERICAN MOTORS,EAGLE
548483,"Chrysler (FCA US, LLC)",0,0,0,0,,09/13/1999,2CCCK3852FB,POWER TRAIN,SHIFT LEVER REQUIRES EXCESSIVE FORCE WHEN TRYING TO REMOVE OUT OF PARK POSITION. MJS,AMERICAN MOTORS,EAGLE
533393,"Chrysler (FCA US, LLC)",0,0,0,0,,03/29/1998,383AA46K0RT,STRUCTURE,PAINT PEELING FROM ENTIRE BODY OF TRUCK.,AMERICAN MOTORS,SPIRIT
8005884,"Volkswagen Group of America, Inc.",0,1,0,0,03/18/2002,03/19/2002,NOT AVAILAB,"FUEL SYSTEM, GASOLINE,POWER TRAIN,ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL","FUEL PUMP BROKE, CAUSING  VEHICLE TO CATCH ON  FIRE WHILE GOING 60MPH ON  HIGHWAY. VEHICLE WOULDN'T DOWNSHIFT, AND  ACCELERATOR PEDAL FAILED.  ALSO, BATTERY LIGHT ILLUMINATED JUST BEFORE  VEHICLE STALLED AT THE STOP SIGN.*AK",AUDI,4000
476159,"Volkswagen Group of America, Inc.",0,0,0,0,10/26/1994,11/14/1994,WAUFB044XFN,POWER TRAIN,"TRANSAXLE FAILED, CAUSING FRONT WHEELS TO LOCK UP/ LOSS OF CONTROL PRIOR TO RECALL (93V-006).  *AK",AUDI,5000
478270,"Volkswagen Group of America, Inc.",0,0,0,0,11/01/1994,12/29/1994,,POWER TRAIN,TRANSMISSION FAILURE AFTER RECALL WORK PERFORMED DUE TO LOWER LEVEL OF OIL LUBRICATING THE BEARINGS/SEAL WENT BAD.  *SKD,AUDI,5000
480327,"Volkswagen Group of America, Inc.",0,0,0,0,12/01/1994,12/12/1994,UNK,"SERVICE BRAKES, HYDRAULIC",FRONT BRAKES LOCKED UP.,AUDI,5000
480410,"Volkswagen Group of America, Inc.",1,0,2,0,12/07/1994,01/19/1995,WAUFB0444FN,POWER TRAIN,"DIFFERENTIAL FAILURE PRIOR TO RECALL (93V-006),CAUSING LOSS OF CONTROL/ACCIDENT/INJURIES.   *SKD",AUDI,5000
481297,"Volkswagen Group of America, Inc.",1,0,2,0,12/30/1994,02/21/1995,WAUFB0444FN,POWER TRAIN,"DIFFERENTIAL FAILED TWICE, ONCE CAUSING VEHICLE TO LOCK UP, CAUSING LOSS OF CONTROL/ACCIDENT/INJURIES.  *SKD",AUDI,5000
481949,"Volkswagen Group of America, Inc.",0,0,0,0,02/11/1995,02/11/1995,WAUHC0443FN,VEHICLE SPEED CONTROL,"IDLE SPEED CONTROL MODULE FAILED, CAUSING SUDDEN ACCELERATION.  *SKD",AUDI,5000
484377,"Volkswagen Group of America, Inc.",0,0,0,0,07/02/1995,07/02/1995,WAUFB0446FN,"SERVICE BRAKES, HYDRAULIC",BRAKES WORK INTERMITTENTLY. *SD,AUDI,5000
485221,"Volkswagen Group of America, Inc.",0,0,0,0,08/01/1994,06/09/1995,WAUFB0446FN,VISIBILITY,POWER MIRRORS FAILED.,AUDI,5000
485960,"Volkswagen Group of America, Inc.",0,0,0,0,05/01/1993,07/10/1995,WAUF80444FN,STEERING,"HYDRAULIC SYSTEM LEAK CAUSES LOSS OF STEERING, BRAKES, AND TRANSMISSION. *DH",AUDI,5000
486456,"Volkswagen Group of America, Inc.",0,0,0,0,05/24/1995,05/24/1995,WAUFB0444FN,POWER TRAIN,"DIFFERENTIAL FAILURE, CAUSING FRONT WHEEL TO LOCK UP.  *AW",AUDI,5000
488784,"Volkswagen Group of America, Inc.",1,0,2,0,04/07/1995,04/07/1995,WAUFB0442FN,POWER TRAIN,"TRANSMISSION LOCKED IN REVERSE, CAUSING SUDDEN ACCELERATION/ACCIDENT. *SD",AUDI,5000
501099,"Volkswagen Group of America, Inc.",0,0,0,0,02/05/1996,03/23/1998,,POWER TRAIN,TRANSMISSION LOCKED UP AFTER RECALL REPAIR.,AUDI,5000
537424,"Volkswagen Group of America, Inc.",0,0,2,0,12/30/1994,07/08/1998,WALHBO444FN,POWER TRAIN,DIFFERENTIAL FAILURE RESULTING IN A VEHICLE ACCIDENT.,AUDI,5000
800789,"Volkswagen Group of America, Inc.",0,0,0,0,08/10/1996,09/10/1996,WAUSBO446FN,STRUCTURE,"DOOR LOCKS WILL LOCK AND UNLOCK,  ELECTRICAL DOOR LOCKS, NO MANUAL RELEASE BUTTON, CAN OPEN FROM INSIDE OR OUTSIDE. *AK",AUDI,5000
800931,"Volkswagen Group of America, Inc.",0,0,0,0,06/23/1996,08/15/1996,WAUFB0446FN,"STRUCTURE,LATCHES/LOCKS/LINKAGES","CONSUMER PARKED CAR AND LOCKED DOOR WITH CHILD IN CAR,  CAME BACK TO THE CAR AND DISCOVERED THE POWER LOCK WOULDN'T UNLOCK,  HAD TO PLAY WITH LOCK ABOUT ONE HOUR AND THE REAR DOOR WOULD NOT UNLOCK.  PLEASE DESCRIBE .**AK",AUDI,5000
971286,"Volkswagen Group of America, Inc.",0,0,0,0,05/10/1995,08/30/1995,WAUFB0449FN,POWER TRAIN,RECIEVED A RECALL NOTICE AFTER TRANSMISSION WAS REPLACED AT OWNERS EXPENSE OWNER IS SEEKING REIMBURSTMENT.  TT,AUDI,5000
8010943,"Volkswagen Group of America, Inc.",0,0,0,0,01/01/2002,06/03/2002,WAUFBO445FN,ENGINE AND ENGINE COOLING,RADIATOR COOLING FAN SHORTS OUTS AFTER ACCUMULATING MANY MILES.  WIRING TO FAN  BURNED OUT COMPLETELY. THE AFFECT TO  VEHICLE WAS UNKNOWN.  DEALER WAS CONTACTED . PLEASE PROVIDE MORE INFORMATION.*AK,AUDI,5000
481703,"Volkswagen Group of America, Inc.",0,0,0,0,02/22/1995,02/22/1995,WAUFB0444FN,POWER TRAIN,UNABLE TO SHIFT INTO 3RD GEAR DUE TO BROKEN BOLT.,AUDI,AUDI
534401,"Volkswagen Group of America, Inc.",0,1,0,0,03/09/1998,04/21/1998,WAUFB0813FA,"FUEL SYSTEM, GASOLINE","FAILURE OF THE FUEL PUMP, RESULTED IN A VEHICLE FIRE.",AUDI,AUDI
986502,"Volkswagen Group of America, Inc.",0,0,0,0,06/05/1996,07/24/1996,WAVBD0853FA,SEATS,"DRIVER'S SEATBACK REST BROKE, CAUSING VEHICLE TO SWERVE INTO ONCOMING TRAFFIC, NARROWLY ESCAPING A HEAD-ON COLLISION.  *AK",AUDI,COUPE GT
489432,Blue Bird Body Company,0,0,0,0,04/25/1995,04/25/1995,1GBK6P1B0FV,UNKNOWN OR OTHER,HANDRAIL STRAP CLAMP AT FLOORLINE AND STEP WELL BOLT CAN TRAP PASSENGER'S COAT STRINGS.  *SKD,BLUE BIRD,SCHOOL BUS
482366,"BMW of North America, LLC",0,0,0,0,03/20/1995,03/20/1995,WBAAC7401F0,ENGINE AND ENGINE COOLING,"RADIATOR CAP FAILED AFTER RECALL WORK PERFORMED (93V-015), CAUSING VEHICLE TO OVERHEAT.  *SKD",BMW,318
823647,"BMW of North America, LLC",0,0,0,0,05/05/1997,05/27/1998,WBAAC8402F0,SEAT BELTS,THE FEMALE PART OF THE BUCKLE ON THE DRIVER'S SIDE COMPLETELY DISINTEGRATES. BOTH PLASTIC SIDES FALL OFF WHICH CAUSED THE BUCKLE NOT TO LATCH.  THE OWNER REPLACED THE PORTION OF BUCKLE WITH A USED PART IN MAY OF 97. THE PART NEEDS TO BE REPLACED AGAIN.  *AK,BMW,318
549958,"BMW of North America, LLC",0,0,1,0,04/10/1999,12/14/1999,WBAAG3300C8,VISIBILITY,HEATER CORE FAILED CAUSING HOT WATER TO HIT CONSUMER'S LEGS AND FOGGED WINDOWS RESULTING IN NO VISIBILITY AND INJURY TO CONSUMER (2ND DEGREE BURNS).  *MJS,BMW,318I
558183,"BMW of North America, LLC",0,0,0,0,,11/30/2000,WBAAK7404F8,"FUEL SYSTEM, GASOLINE","CONSUMER SMELLED FUEL INSIDE THE VEHICLE, UPON INSPECTION THE CONUSMER FOUND A SIX INCH PIECE OF RUBBER HOSE LEAKING.  NLM",BMW,318I
702005,"BMW of North America, LLC",0,1,0,0,01/07/1999,01/08/1999,WBAAK7401E8,ELECTRICAL SYSTEM,"SMOKE COMMING FROM DASH INTERIOR AND THEN FLAMES BURST OUT CONSUMED CAR IN 15 MINUTES, CAR TOTALED OUT",BMW,318I
761632,"BMW of North America, LLC",0,0,0,0,05/03/2002,05/07/2002,POB88226,"FUEL SYSTEM, GASOLINE",I WAS TOLD A FEW YEARS BACK BY C.S.A.A. ABOUT A TSB ON THE BMW318I WITH AUTOMATIC TRANSMISSION.  THIS HAD TO DO WITH THE HIGH SPEED IDLE TEST WHEN DOING THE SMOG TEST.  I QUESTION THIS PROBLEM BECAUSE OF THE PROBLEM THAT I JUST NOTICED ABOUT THE COOLENT SYSTEM FAILURE TSB.  MY CAR HAS QUIT RUNNING TWICE ON ME AND RESULTED ME HAVING TO REPLACE THE FUEL PUMP RELAY AND FULE PUMP.  CAN THIS BE A RESULT OF THE FUEL PUMP OVERHEATING?*AK,BMW,318I
854435,"BMW of North America, LLC",0,0,0,0,12/04/1999,12/27/1999,WBAAK8407F8,VISIBILITY,WHILE DRIVING HEARD A LOUD NOISE AND THE INSIDE OF THE CAR FILLED UP WITH STEAM. THIS CAUSED THE DRIVER NOT TO BE ABLE TO SEE. CONSUMER WAS FORCED TO PULL CAR OVER. CAR WAS TOWED TO CONSUMER'S HOME. CONSUMER SAYS THAT THE HEATER CORE BLEW UP. SERVICE INSTRUMENT PANEL WAS AFFECTED.  *AK,BMW,318I
10088308,"BMW of North America, LLC",0,1,1,0,07/28/2004,08/21/2004,WBAAC8408F0,"SERVICE BRAKES, HYDRAULIC,ENGINE AND ENGINE COOLING","1/12/04 BRAKE REPLACEMENT.   3/16/04 -ENGINE SMOKING.   3/17/04 RADIATOR HOSE,CLAMPS ANTIFREEZE,NEW RADIATOR $368.17 - 7/28/04 VEHICLE CAUGHT ON FIRE AND EXPLODED. MY DAUGHTER WAS SECONDS FROM BEING BURNED ALIVE.  *JB",BMW,318I
11031228,"BMW of North America, LLC",0,0,0,0,09/01/2017,11/08/2017,WBAAC7400F0,ELECTRICAL SYSTEM,1985 BMW 318I. CONSUMER WRITES IN REGARDS TO ODOMETER FRAUD. *LD  UPDATED 11/8/2017*JS,BMW,318I
