ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
731063,"General Motors, LLC",0,0,0,0,,09/11/2000,,TIRES,"IN 1975, MY FATHER BOUGHT THE SKYHAWK AS A SPECIAL ORDER.  WE HAD THE VEHICLE ABOUT 6 MONTHS WHEN, WHILE DRIVING DOWN INTERSTATE 495 IN MARYLAND, THE FRONT LEFT TIRE STARTED PEELING THE STEEL OF THE STEEL BELTED TIRE.  WE WERE FORTUNATE AT THAT TIME TO HEAR THE NOISE OF THE STEEL AGAINST THE WHEEL WELL, SO WE PULLED OVER ONTO THE SHOULDER.  WE WERE FORTUNATE TO HAVE A MD STATE TROOPER ASSIST US WITH THE SPARE (DONUT) TIRE.  WE CONTINUED THE DRIVE TO DELAWARE ON THE DONUT.  SEVERAL MONTHS AFTER THAT INCIDENT, THE REAR LEFT TIRE BLEW WHILE DRIVING ON INTERSTATE 395 AT SHIRLINGTON (ARLINGTON, VA) AT THE BASE OF THE FEED-IN RAMP.  SOON AFTER, THE RIGHT REAR STARTED SPLITTING STEEL, AT WHICH POINT MY FATHER HAD ALL THE TIRES REPLACED WITH GOODYEAR RATHER THAN CONTINUING TO GO BACK TO FIRESTONE AND GETTING A NEW TIRE AND CREDIT FOR THE DEFECTIVE ONE.  ALTHOUGH WE NO LONGER HAVE THE CAR (IT DIED), FIRESTONE HAD THE SAME OR SIMILAR PROBLEMS WITH THEIR TIRES IN 1975.  THE NEWS SEEMS TO INDICATE THAT THIS IS A FAIRLY NEW PROBLEM, BUT AS YOU CAN SEE FROM MY COMMENTS, THIS WAS HAPPENING 25 YEARS AGO, ONLY ON SUB-COMPACT CARS INSTEAD OF SPORT UTILITY VEHICLES.  ALTHOUGH MY DAD PASSED AWAY, I WAS WITH HIM FOR ALL 3 INCIDENTS, SO IF YOU HAVE ANY QUESTIONS, PLEASE CALL ME.  THANKS AND HAVE A GOOD WEEK!!  *AK( DOT NUMBER:   )",BUICK,SKYHAWK
875168,"General Motors, LLC",0,0,0,0,09/01/1998,11/17/2000,,TIRES,"EA00023,  TIRE TREAD SEPARATION; WHILE DRIVING 75 MPH REAR FIRESTONE FIREHAWK TIRE ON  DRIVER'S SIDE BLEW UP.  DRIVER WAS ABLE TO MAINTAIN CONTROL OF TRUCK. TIRE SIZE P23585R16. REPLACEMENT TIRE EQUIPMENT ON A 1975, CHEVROLET, C30. TIRE MILEAGE LESS THAN 20,000.  OWNER WAS GIVEN  50% OFF ON A REPLACEMENT TIRE BY FIRESTONE. OWNER WAS GIVEN 50% OFF ON TOW OTHER TIRES AS WELL. *AK   ANOTHER FIRESTONE FIREHAWK TIRE BLEW OUT, THE ONLY PART OF THE TIRE LEFT WAS THE SIDEWALLS.   *SLC",CHEVROLET,C30
965611,"General Motors, LLC",1,0,0,0,,05/22/1995,,"FUEL SYSTEM, GASOLINE",SIDE IMPACT UPON SIDE SADDLE GAS TANKS. PLEASE DESCRIBE DETAILS.  TT,CHEVROLET,C30
536660,"General Motors, LLC",0,0,0,0,03/13/1995,06/05/1998,2GCHK39N1N1,ENGINE AND ENGINE COOLING,EXHAUST LEAK CAUSING A POTENTIAL FIRE AND CARBON MONOXIDE POISING SAFETY HAZARD.,CHEVROLET,CK30
10196338,"General Motors, LLC",0,0,0,0,06/30/2007,07/14/2007,,"SERVICE BRAKES, HYDRAULIC",ON MY 1975 CHEVROLET CORVETTE WHILE DRIVING ON THE JACKIE ROBINSON PARKWAY IN NEW YORK CITY WHILE ATTEMPTING TO STOP THE BRAKE PEDAL DROPPED TO THE FLOOR. THE CLEVIS PIN AND CLIP RETAINER FELL OFF THE BRAKE PEDAL WITHOUT PRIOR WARNING ALMOST CAUSING A VEHICLE CRASH. PURCHASED NEW PARTS FOR INSTALLATION WITH FEAR THAT IT MIGHT HAPPEN AGAIN.  *TR,CHEVROLET,CORVETTE
11115832,"General Motors, LLC",0,0,0,0,08/03/2018,08/05/2018,1Z3J5S41311,"STRUCTURE,TIRES,WHEELS",WHILE DRIVING ALONG ON A STATE ROAD AT ABOUT 45 TO 50 MPH THE BF GOODRICH RADIAL T/A TIRE ON THE RIGHT REAR COMPLETELY SELF DESTRUCTED WITH TREAD SEPARATION AND STEEL BELT SHREDDING. THE RIGHT REAR QUARTER PANEL WAS TORN AS WELL AS SCRATCHES AND TIRE IMPRESSIONS ON THE DOOR AND FRONT FENDER OF MY 1975 CORVETTE. I HAVE ONLY HAD THIS CLASSIC CAR FOR 1 MONTH AND NOW IT IS DAMAGED.,CHEVROLET,CORVETTE
11266332,"General Motors, LLC",0,0,0,0,10/08/2019,10/08/2019,,ENGINE,"1975 CORVETTE STINGRAY. CONSUMER WRITES IN REGARD TO MULTIPLE MALFUNCTIONS WITH VEHICLE; FLUID LEAKAGES, AND DEFECTIVE OIL FILTERS.*AS  *JS",CHEVROLET,CORVETTE
11503243,"General Motors, LLC",0,0,0,0,05/01/2022,01/23/2023,,TIRES,"The contact owns a 1975 Chevrolet Corvette equipped with Cooper Tires, Tire Line: Cobra Gt, Tire Size: P225/70/R15, DOT Number: R7UUC285020. The contact stated that while cleaning the vehicle, he noticed that the sidewalls on the tire had a bulge. The vehicle was taken to an independent tire supplier. The passenger’s side front tire was replaced, but the failure persisted. The contact stated that he noticed that the driver's side rear tire also had a bulge on the sidewall. The tire was not replaced. The local dealer was not contacted. The manufacturer was contacted but no additional assistance was provided. The tire mileage was 200. The vehicle failure mileage was not provided. The VIN was not available.",CHEVROLET,CORVETTE
533325,"General Motors, LLC",0,0,0,0,,03/25/1998,,SEAT BELTS,SEAT BELT BUCKLES JAM AND WILL NOT RELEASE.  *AK,CHEVROLET,K10
533388,"General Motors, LLC",0,0,0,0,,03/28/1998,,SEAT BELTS,SEAT BELT BUCKLES JAM AND WILL NOT RELEASE.  *AK,CHEVROLET,K10
