ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
476495,Honda (American Honda Motor Co.),0,0,0,0,11/14/1994,11/14/1994,UNK,VISIBILITY,"LIMITED VISIBILITY OUT OF REAR WINDOW, IMPAIRS VISIBILTY WHILE DRIVING, ALSO IMPOSSIBLE TO JUDGE DISTANCES BETWEEN CARS WHEN PARALLEL PARKING.    *AK",ACURA,INTEGRA
477660,Honda (American Honda Motor Co.),0,0,0,0,06/01/1994,11/12/1994,JH4DC4359RS,VISIBILITY,WINDOW PROBLEMS.  *AK,ACURA,INTEGRA
477797,Honda (American Honda Motor Co.),0,0,0,0,11/17/1994,11/17/1994,JH4DC2387RS,VISIBILITY,FRONT RIGHT POWER WINDOW HESITATES WHEN GOING UP AND DOWN.  *SKD,ACURA,INTEGRA
477861,Honda (American Honda Motor Co.),0,0,0,0,03/01/1994,11/08/1994,JH4DC4341RS,TIRES,BRIDGESTONE TIRE BLOWOUT.,ACURA,INTEGRA
477881,Honda (American Honda Motor Co.),0,0,0,0,03/01/1994,11/10/1994,JH4DC2383RS,STRUCTURE,PROBLEM WITH REAR HATCH.  *AK,ACURA,INTEGRA
477892,Honda (American Honda Motor Co.),0,0,0,0,11/10/1994,11/10/1994,JH4DC4457RS,LATCHES/LOCKS/LINKAGES,TRUNK FAILS TO CLOSE.   *AK,ACURA,INTEGRA
477910,Honda (American Honda Motor Co.),0,0,0,0,11/01/1994,11/08/1994,JH4DB8580RS,EQUIPMENT,RADIO ANTENNA FAILS TO RETRACT ALL THE WAY.  *AK,ACURA,INTEGRA
477914,Honda (American Honda Motor Co.),0,0,0,0,10/01/1994,01/09/1995,JH4DC4454RS,"SERVICE BRAKES, HYDRAULIC",BRAKE FAILURE.   *AK,ACURA,INTEGRA
477925,Honda (American Honda Motor Co.),0,0,0,0,10/01/1994,01/09/1995,JH4DCZ383RS,VISIBILITY,DRIVER'S SIDE POWER WINDOW FAILED.  *AK,ACURA,INTEGRA
479225,Honda (American Honda Motor Co.),0,0,0,0,11/03/1994,11/03/1994,JH4DC4358RS,EQUIPMENT,AIR CONDITIONER VENT BROKE.  *SKD,ACURA,INTEGRA
