ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
483454,"Volkswagen Group of America, Inc.",0,1,0,0,08/26/1995,08/26/1995,,ENGINE AND ENGINE COOLING,VEHICLE FIRE.  *AW,AUDI,4000
10187362,"Volkswagen Group of America, Inc.",0,0,0,0,04/03/2007,04/09/2007,,ELECTRICAL SYSTEM,"TL*- THE CONTACT  OWNS  A 1980 AUDI 5000 DIESEL AND PURCHASED A SURE START BATTERY #SSB4972, WHICH DID NOT HAVE THE PLASTIC SAFETY GUARD ON THE POSITIVE TERMINAL.  THE AUTO STORE WAS SELLING THE BATTERIES TO EVERYONE WITHOUT THE PLASTIC SAFETY GUARD WHICH THEY  WERE TAKING OFF AND THROWING AWAY.      *AK",AUDI,5000
767561,"BMW of North America, LLC",0,0,0,0,01/01/1981,09/22/2002,7158160,ENGINE AND ENGINE COOLING,"ORDER FACTORY RECALL IMMEDIATELY AND NOTIFY ALL OWNERS,THEY HAVE MAKERS OF THESE NEW PUMPS,CURRENT OIL PUMP AT IDLE IS 10 PSI, INSUFFICENT TO SHUT OFF OIL LIGHT, MAKE BMW PUT IN LEGAL OIL PUMP, ONE THAT PROVIDES SUFFICENT LUBRICATION AT IDLE AND HARDEN THE THREADS OF THE OIL SWITCH HOUSING. *AK",BMW,320I
8003605,"BMW of North America, LLC",0,0,0,0,01/01/2001,02/05/2002,,TIRES,"FIRESTONE, AFFINITY,DOT VDE8AIA265 ON A BMW 320I 1980. REPLACEMENTS TIRES. WHEN DRIVING COULD HEAR A NOISE LIKE A FLAT TIRE MAKES. TOOK TO THE DEALER AND THEY STATED THE TIRE WAS INPROPERLY INFLATED. 3 MONTHS LATER, RIGHT REAR TIRE CAME APART. WIRES WERE STICKING OUT. *AK  THE CONSUMER STATED THAT THE TIRES WERE DEFECTIVE AND THE TIRE DEALER SOLD HIM 1 YEAR OLD TIRES.  *YH",BMW,320I
10150847,"BMW of North America, LLC",0,0,0,0,02/01/2006,02/09/2006,,"ENGINE AND ENGINE COOLING,FUEL SYSTEM, GASOLINE,POWER TRAIN,ELECTRICAL SYSTEM","1980  BMW 320I FUEL SYSTEM NEEDED TO BE TUNED AND REPLACED, NEEDS AUX AIR VALVE, IGNITION HAS MISFIRE, BATTERY BOX NEEDS TO BE WELDED.  *TS  THE STARTER AND CLUTCH ASSEMBLY NEEDED TO BE REPLACED.  THE FUEL INJECTORS WERE REPLACED. THE THROTTLE CABLE WAS REPLACED. THE VEHICLE STALLED.*JB UPDATED 05/22/06",BMW,320I
539029,"BMW of North America, LLC",0,0,0,0,04/01/1998,07/27/1998,,"FUEL SYSTEM, GASOLINE",FUEL SYSTEM FAILURE.,BMW,528I
557188,"BMW of North America, LLC",0,0,0,0,,11/09/2000,,STRUCTURE,"THE REAR DIFFERENTIAL MOUNT FAILED, THE SHEET METAL WHERE IT IS MOUNTED IS THIN AND EXPERIENCED CRACKING AROUND THE MOUNT CAUSING IT TO FAIL.   *SLC",BMW,528I
508355,"General Motors, LLC",0,0,0,0,08/28/1996,07/03/1997,,SEAT BELTS,"HAS A PROBLEM WITH SLACK IN THE SHOULDER HARNESS PORTION OF THE FRON TSEA TBELTS, IT IS OCCASIONALLY NECESSARY TO UNBUCKLE  THE SEAT BELT WHILE IN MOTION IN ORRDER TO GET SEAT BELT TO RETRACT.  *AK",CHEVROLET,BLAZER
979378,"General Motors, LLC",0,1,0,0,,02/20/1996,,UNKNOWN OR OTHER,THE WIRE TO THE WHEEL CHAIR LIFT SORTED OUT AND WAS NOT FUSED WHICH CAUSED A FIRE IN THE VAN.  TT,CHEVROLET,C10
10025026,"General Motors, LLC",0,0,0,0,06/26/2003,06/26/2003,,ENGINE AND ENGINE COOLING,WHILE TRAVELING AT 55 MPH ON THE HIGHWAY AND WITHOUT WARNING CHECK ENGINE LIGHT APPEARS ON THE DEASHBOARD.*AK,CHEVROLET,CHEVETTE
780368,"General Motors, LLC",0,0,0,0,,02/13/1998,,UNKNOWN OR OTHER,OWNER HAS NOT RECEIVED ANY OF THE KNOWN RECALL NOTICES SINCE BRINGING THE VEHICLE FROM ENGLAND IN 1982.  OWNER WANTS TO KNOW IF MANUFACTURER IS VIOLATING ANY CONSUMER LAW.,CHEVROLET,CHEVROLET TRUCK
548131,"General Motors, LLC",0,0,0,0,,08/24/1999,,VISIBILITY,HEATER CORE FAILED. MJS,CHEVROLET,CITATION
519480,"General Motors, LLC",0,0,0,0,06/04/1997,07/08/1997,,STRUCTURE,"LEFT SIDE FRAME IS RUSTED FROM  TRANSMISSION TO DIFFERENTIAL CROSS MEMBERS, PREVENTING LEFT REAR WHEEL FROM BEING ALIGNED.",CHEVROLET,CORVETTE
700864,"General Motors, LLC",0,0,0,0,10/01/1998,11/24/1998,1Z87HAS4228,STRUCTURE,"CRACKED FRONT CROSSMEMBER AND FRAME SIDE RAILS, OTHER CORVETTE OWNERS  STATED THIS IS NORMAL, BUT THE 2-PIECE CROSSMEMBER WAS PULLED APART  AND CAUSED THE FRONT FRAME RAILS TO COME IN TOWARDS THE ENGINE,  THIS IN TURNED CAUSED THE POWER STEERING PUMP PULLEY TO COME IN CONTACT  WITH THE FRAME. ALSO THERE WERE CRACKS WHERE THE RUBBER STOPS ON THE UPPER A-ARMS COME IN CONTACT WITH THE FRAME RAILS.",CHEVROLET,CORVETTE
