ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
753929,"General Motors, LLC",0,0,0,0,10/18/2001,10/31/2001,168677F2314,TIRES,"WHILE TRAVELING AT APPROXIMATELY 70 MPH, DRIVER'S SIDE FRONT TIRE EXPERIENCED A ""TREAD SEPARATION INCIDENT"".  ALL COMPONENTS OF TIRE WERE RETRIEVED FROM ROAD, AND PHOTO EVIDENCE HAS BEEN TAKEN.  THE INCIDENT ALSO CAUSED COSMETIC DAMAGE TO LEFT FRONT FENDER, ALSO PHOTOGRAPHED FOR EVIDENCE.  REMAINING TIRES ON VEHICLE ARE SAME MAKE/MANUFACTURE AS THE ONE IN QUESTION.*AK",CHEVROLET,IMPALA
754099,"General Motors, LLC",0,0,0,0,10/18/2001,11/05/2001,168677F2314,TIRES,"WHILE TRAVELLING AT APPROXIMATELY 70 MPH, FRONT DRIVER SIDE TIRE EXPERIENCED A TREAD SEPARATION INCIDENT.  PHOTOGRAPHS HAVE BEEN TAKEN OF TIRE AND TREAD (TREAD WAS RETRIEVED FROM FREEWAY FOR INSPECTION).  ALSO, SAID FAILURE CAUSED COSMETIC DAMGE TO FRONT FENDER AND HEADLIGHT.  OF WHICH, PHOTOGRAPHIC EVIDENCE ALSO HAS BEEN TAKEN.*AK (DOT NUMBER: HYHB3U6206  TIRESIZE: P215/75R14)",CHEVROLET,IMPALA
844061,"Chrysler (FCA US, LLC)",0,0,0,0,,08/02/1999,,"FUEL SYSTEM, GASOLINE",WHILE PARKING VEHICLE OVERNIGNT FUEL WAS LEAKING FROM FUEL TANK.  *AK,CHRYSLER,TOWN AND COUNTRY
780539,Ford Motor Company,0,0,0,0,,09/13/1998,,ELECTRICAL SYSTEM,VEHICLE STARTED ON ITS OWN AND COLLIDED WITH ANOTHER VEHICLE.,FORD,BRONCO
827869,Ford Motor Company,1,0,0,0,08/12/1998,09/14/1998,PLEASE FILL,PARKING BRAKE,"AFTER PARKING VEHICLE, TURNING ENGINE OFF AND PUTTING ON PARKING BRAKE; WITHIN 45 MINUTE OR MORE, LEARNED THAT VEHICLE STARTED BY  ITSELF AND CRASHED  INTO ANOTHER VEHICLE. VEHICLE OPERATION WAS WITNESSED BY A VALET AND A POLICEMAN. DEALER/MANUFACTURER NOTIFIED.*AK",FORD,BRONCO
10006364,Ford Motor Company,0,0,0,0,,02/15/2001,,UNKNOWN OR OTHER,WHY DO CAR MANUFACTURES HAVE TO HELP PEOPLE USE TOBACCO BY PROVIDING ASHTRAYS IN THE CARS.  THIS SEEMS LIKE AN ANTI-TRUST ISSUE.  *AK  *MR   *NLM    **DIMSII IVOQ ENTRY POSTED AFTER 12/12/02 CUT-OVER TO ARTEMIS*740948,FORD,FORD
543296,Ford Motor Company,0,0,0,0,,01/08/1999,,"SERVICE BRAKES, HYDRAULIC",BROKEN BLEED VALVE STEM RESULTING IN LEAKAGE.,FORD,MUSTANG
10249563,Ford Motor Company,0,0,0,0,05/10/1973,11/22/2008,,"FUEL SYSTEM, GASOLINE","FORD, 1967 MUSTANG,  SIX CYL AUTO TRANS.  WHILE I WAS STOPPED FOR A LIGHT,  THE CARBURETOR RETURN SPRING LET GO.  LUCKY FOR ME, I HAD MY FOOT ON THE BRAKE AND OFF THE GAS PEDAL AS I WAS STILL IN DRIVE.  I HEARD THE SPRING BOUNCE OFF THE FAN AND THE ENGINE SPEED UP. I SHUT OFF THE ENGINE, TOOK THE  SHIFT OUT OF DRIVE AND COASTED TO THE CURB.. I COULD NOT FIND ANY PART OF THE SPRING OR ANCHOR POINT.    I TOOK A SPRING OUT FROM UNDER THE PASSENGER SEAT AND USED THAT ARRANGEMENT FOR A NUMBER OF YEARS.  I STILL HAVE THE CAR IN THE GARAGE BUT HAVE NOT USED IT FOR ABOUT 30 YEARS.    AT THE TIME THERE WERE A NUMBER OF INCIDENTS WHERE THESE MUSTANGS SPED UP OUT OF CONTROL, WITH SERIOUS CONSEQUENCES.    FORD WOULD NOT OWN UP TO THE PROBLEM.  I HAD GONE TO FORD ASKING FOR REPLACEMENT PARTS, BUT NO RESPONSE.  I HAD WRITTEN TO NTSB A NUMBER OF YEARS AGO, BUT NO RESPONSE THERE EITHER.    STATUE OF LIMITATIONS HAS MOST LIKELY RUN OUT FOR REPARATIONS TO THE ACCIDENT VICTIMS.    OF COURSE THE PROBLEM WAS EVENTUALLY RECOGNIZED WITHOUT HONOR TO THE VICTIMS AND THE TENSION SPRINGS REPLACED BY A SERIES OF COMPRESSION SPRINGS ON LATER MODELS THEREAFTER.    NEVER HAVE RECEIVED A RECALL NOTICE BY FORD. *TR",FORD,MUSTANG
781505,"General Motors, LLC",0,0,0,0,10/12/1998,10/21/1998,1FDLE40F8VH,ENGINE AND ENGINE COOLING,INTERMITTENT STALLING.,GMC,E4500
857650,"Chrysler (FCA US, LLC)",0,0,0,0,02/29/2000,02/29/2000,NOT AVAILAB,"FUEL SYSTEM, OTHER",FALSE READING FROM GAS GAUGE GIVES AN ILLUSION OF MORE FUEL THAN ACTUALLY PRESENT IN THE FUEL TANK. *AK,JEEP,8701
