ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
10201244,"ADVANCED BUS INDUSTRIES, LLC",0,0,0,0,01/01/2007,08/30/2007,,"AIR BAGS,TIRES,EQUIPMENT,CHILD SEAT",YYYYY`,ABI,MSV
10317180,"ADVANCED BUS INDUSTRIES, LLC",1,0,0,0,03/04/2010,03/05/2010,,UNKNOWN OR OTHER,"A LARGE TRUCK (ABOUT 20-25 FEET) CAUSED DAMAGES TO TWO PASSENGER CARS. FIRST, THE DRIVER TRIED TO MAKE A LEFT ON THE CORNER THAT I LIVE. WHILE MAKING THIS TURN HE HIT ONE CAR COMPLETELY TAKING OFF ITS SIDE MIRROR. ONCE HE NOTICED WHAT HE DID, HE STARTED TO BACK UP. BUT AS HE STARTED BACKING UP, HE HIT ANOTHER CAR DAMAGING IT AS HE DRAGGED IT RIGHT ONTO THE SIDEWALK WHILE THE WITNESSES WERE SCREAMING FOR HIM TO STOP. INSTEAD OF GETTING OUT OF THE TRUCK AND SPEAKING TO ONE OF THE DRIVERS ABOUT THE DAMAGES, HE GAVE UP ON THE TURN (AND RIGHTLY SO) AND LEFT. AND THIS IS NOT THE FIRST TIME THIS HAPPENED. ON THAT STREET CARS ARE PARKED ON BOTH SIDES, AND THERE IS NO SPACE FOR A LARGE TRUCK TO TURN. I DO NOT KNOW THE YEAR AND THE MAKE OF THE TRUCK (SO ON THE NEXT PAGE THE INFO ABOUT THE TRUCK IS INCORRECT - I SELECTED ANYTHING FOR THE PURPOSES OF SUBMITTING THIS COMPLAINT).  *TR",ABI,MSV
522579,Honda (American Honda Motor Co.),0,0,0,0,05/07/1997,08/09/1997,19UYA2258V1,POWER TRAIN,TRANSMISSION CONTRO UNIT FAILED.,ACURA,CL
523056,Honda (American Honda Motor Co.),0,0,0,0,,08/31/1997,19UYA2255VL,VEHICLE SPEED CONTROL,WHEN ACCELERATING VEHICLE WILL SOMETIMES STALL TEMPORARILY AND THEN SUDDENLY ACCELERATE.,ACURA,CL
527602,Honda (American Honda Motor Co.),0,0,0,0,06/01/1997,12/30/1997,19UYA2247VL,POWER TRAIN,TRANSMISSION FAILURE.  STUCK IN FOURTH GEAR AND WOULD NOT SHIFT.,ACURA,CL
527608,Honda (American Honda Motor Co.),0,0,0,0,06/01/1997,12/30/1997,19UYA2247VL,POWER TRAIN,"WHILE TRAVELING ON HIGHWAY, THE AUTOMATIC TRANSMISSION BECAME LOCKED IN FOURTH GEAR, CHECK ENGINE LIGHT CAME ON, AND THE D4 INDICATOR ON DASH BEGAN TO BLINK.  DEALER SAYS CAUSE WAS RUSTED INTERNAL VALVES IN THE TRANSMISSION.",ACURA,CL
527790,Honda (American Honda Motor Co.),0,0,0,0,07/01/1997,01/05/1998,19UYA2247VL,POWER TRAIN,AUTOMATIC TRANSMISSION LOCKED IN 4TH GEAR AND WOULD NOT DOWNSHIFT.,ACURA,CL
537274,Honda (American Honda Motor Co.),0,0,0,0,11/11/1997,07/01/1998,19UYA2255VL,ENGINE AND ENGINE COOLING,CATALYTIC CONVERTER FAILED CAUSING NOISE.,ACURA,CL
603797,Honda (American Honda Motor Co.),0,0,0,0,,09/02/1997,19UYA1153VL,AIR BAGS,"UNSPECIFIED:  AIR BAG SENSOR INDICATED AIR BAG WAS DEFECTIVE, PASSENGER AIR BAG WAS REPLACED DUE TO FAILURE.",ACURA,CL
607878,Honda (American Honda Motor Co.),0,0,0,0,05/01/1998,02/01/1999,19UYA2259VL,ELECTRICAL SYSTEM,MAIN COMPUTER FAILED.  *YC,ACURA,CL
607913,Honda (American Honda Motor Co.),0,0,0,0,11/01/1998,02/01/1999,19UYA2245VL,VEHICLE SPEED CONTROL,"CONSUMERS KNEE INADVERTENTLY BRUSHED AGAINST THE IGNITION KEY WHILE DRIVING, CAUSING THE ENTIRE IGNITION SYSTEM TO SHUT DOWN, WHICH RESULTED IN POWER LOSE.   *YC",ACURA,CL
608797,Honda (American Honda Motor Co.),0,0,0,0,,02/01/1999,19UYA1149VL,TIRES,TIRE FAILED (MICHELIN).  YH,ACURA,CL
609071,Honda (American Honda Motor Co.),0,0,0,0,01/01/1997,02/01/1999,19UYA2242VL,VISIBILITY,REAR WINDOW GADGET FAILED.  YH,ACURA,CL
707295,Honda (American Honda Motor Co.),0,0,0,0,06/05/1999,06/08/1999,19UYA1258VL,SEAT BELTS,"FOR NO REASON, THE PASSENGER SIDE FRONT SEATBELT LOCKS UP.  ONCE LOCKED UP, IT DOES NOT RETRACT, PASSENGER MUST UNBUCKLE SEAT BELT AND RETRACT IT COMPLETELY AND THEN RE-BUCKLE.  THIS HAS EVEN HAPPENED MULTIPLE TIMES WHEN THE CAR WAS AT A SINGLE STAND STILL.  DEALER SAYS THIS IS A COMMON COMPLAINT, AND ACURA KNOWS OF IT, BUT DOESN'T HAVE A FIX FOR IT.  HAVING TO UNBUCKLE THE SEATBELT WHILE THE CAR IS ON THE ROAD IS VERY DANGEROUS - PLEASE HELP WITH THIS.  *AK",ACURA,CL
711462,Honda (American Honda Motor Co.),0,0,0,0,03/30/1998,09/16/1999,19UYA2250VL,"SERVICE BRAKES, HYDRAULIC","BRAKE ROTORS RESURFACED 3/98 @ 4,276 MI.; REPLACED 10/08 @ 11,160 MI.; RESURFACED(R) AND REPLACED(F) 5/99 @ 18,511 MI.; RESURFACED(F) AND REPLACED(R) 9/99 @ 23,500 MI.   HAVE ANOTHER 1997 ACURA 3.0 CL ACQUIRED AT SAME TIME WITH SIMILAR MILEAGE; BRAKE ROTORS HAVE BEEN RESURFACED TWICE AND REPLACED ONCE.  ARE BRAKES ADEQUATELY SIZED FOR WEIGHT OF VEHICLE?",ACURA,CL
730319,Honda (American Honda Motor Co.),0,0,0,0,,09/05/2000,19UYA1242VL,SUSPENSION,"CAR PULLS LEFT.  ALIGNMENT DONE, TIRES CHANGED.  STILL PULLS.",ACURA,CL
735505,Honda (American Honda Motor Co.),0,0,0,0,,10/31/2000,19UYA1158VL,SUSPENSION,"ON YOUR WEB PAGE FOR RECALLS, CAMPAIGN #K59, IT SAYS THAT MY VEHICLE IS AFFECTED FOR RECALL OF BALL JOINTS.  BOTH LOCAL DEALER AND ACURA CLAIM THAT THIS RECALL ONLY AFFECTS THE MODEL RL, AND NOT MY CL, AS YOUR RECALL STATES.  IS THERE AN ERROR ON YOUR WEB PAGE?*AK",ACURA,CL
737659,Honda (American Honda Motor Co.),0,0,0,0,11/14/2000,12/11/2000,19UYA1153VL,"SERVICE BRAKES, HYDRAULIC",ABS LIGHT STAYED ON.  AFTER TAKING MY VEHICLE TO THE RADLEY ACURA DEALER SERVICE DEPARTMENT WAS TOLD THAT THE ABS MODULATOR AND ACCUMULATOR HAS FAILED.  IT WAS RECOMMENDED  BY THE SERVICE TECHNICIAN THAT THIS EQUIPMENT BE REPLACED FOR PROPER OPERATION.  *AK,ACURA,CL
749146,Honda (American Honda Motor Co.),0,0,0,0,07/15/2001,07/25/2001,19UYA1256VL,POWER TRAIN,MALFUNCTION INDICATOR LIGHT CAME ON. DEALER INFORMED ME THAT THE PRIMARY CONTROL MODULE FOR THE TRANSMISSION HAD FAILED. I WILL HAVE TO PAY FOR THE TESTS TO ISOLATE PROBLEM AN FOR LABOR TO REPAIR. ACURA WILL REPLACE THE PCM AS 'GOODWILL' BUT AS MAINTANANCE WAS DONE PER ACURA RECOMMENDATIONS THIS PROBLEM SHOULD HAVE BEEN CAUGHT.*AK,ACURA,CL
765224,Honda (American Honda Motor Co.),0,0,0,0,01/20/2002,08/05/2002,19UYA2250VL,POWER TRAIN,"DURING A COLD START, THE AUTOMATIC TRANSMISSION FAILS TO SHIFT GEARS PROPERLY UNTILL THE ENGINE IS WARM.  EVERYDAY SINCE I HAVE HAD THE CAR, THIS HAS HAPPENED. THE CAR IS NOT UNDER WARRENTY SO REPLACING THE TRANSMISSION WOULD COST ME A FEW THOUSAND DOLLARS, WHICH I AM NOT PREPARED TO SPEND.*AK",ACURA,CL
768772,Honda (American Honda Motor Co.),0,0,0,0,08/14/2000,10/23/2002,19UYA2250VL,POWER TRAIN,"8/14/00 - TRANSMISSION FAILURE - ACURA REPLACED TRANSMISSION AT ACURA PASADENA (GOOD WILL GESTURE FROM ACURA PROVIDED RE-BUILT TRANSMISSION), AND I PAYED FOR THE LABOR - OVER $1,000.00.  ON 10/21/02 ANOTHER TRANSMISSION FAILURE THIS TIME AT 68 MPH, ON THE FREEWAY IN RUSH HOUR TRAFFIC, 210 FWY, EAST BOUND BETWEEN LOWELL AVE & LA TUNA CANYON ROAD.  CAR WAS TOWED TO ACURA PASADENA, WHERE ON 10/22 I WAS INFORMED BY THE SERVICE DEPARTMENT THAT THE TRANSMISSION HAD FAILED AND THAT THE COST WOULD BE $4,600.00 OUT OF MY POCKET.  A WARRANTY ISSUED ON THE REBUILT TRANSMISSION WAS FOR 36 MONTHS/36,000 MILES.  TRANSMISSION FAILED AT 38,387 MILES.",ACURA,CL
