Manufacturer,NHTSACampaignNumber,parkIt,parkOutSide,overTheAirUpdate,NHTSAActionNumber,ReportReceivedDate,Component,Summary,Consequence,Remedy,Notes,ModelYear,Make,Model
"Honda (American Honda Motor Co.)","19V052000",0,0,0,,"24/01/2019","FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY","Acura (American Honda Motor Co.) is recalling certain 2014-2019 Acura ILX vehicles.  The vehicles may have a deformed fuel tank, raising the height of the fuel pump and allowing the fuel level float to stick, possibly causing the fuel gauge to display an inaccurate fuel level.","If the fuel gauge displays that the vehicle has more gas than it actually does, the vehicle may run out of gas and stall, increasing the risk of a crash.","Acura will notify owners, and dealers will inspect and, as necessary, replace the fuel tank, free of charge.  The recall began March 14, 2019.  Owners may contact Acura customer service at 1-888-234-2138.  Acura's number for this recall is H3U, Z3T.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2014","ACURA","ILX"
"Honda (American Honda Motor Co.)","19V182000",0,0,0,"EA15001","06/03/2019","AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE","Honda (American Honda Motor Co.) is recalling specific 2003 Acura 3.2CL, 2013-2016 ILX, 2013-2014 ILX Hybrid, 2003-2006 MDX, 2007-2016 RDX, 2002-2003 3.2TL, 2004-2006, and 2009-2014 TL, 2010-2013 ZDX and 2001-2007 and 2009 Honda Accord, 2001-2005 Civic, 2003-2005 Civic Hybrid, 2001-2005 Civic GX NGV, 2002-2007 and 2010-2011 CR-V, 2003-2011 Element, 2007 Fit, 2002-2004 Odyssey, 2003-2008 Pilot, and 2006-2014 Ridgeline vehicles.  The affected vehicles received a replacement driver air bag inflator as part of a previous Takata inflator recall remedy or a replacement driver air bag module containing the same inflator type as a service part.  Due to a manufacturing error, in the event of a crash necessitating deployment of the driver frontal air bag, these inflators may explode.","An explosion of an inflator within the driver frontal air bag module may result in sharp metal fragments striking the driver, front seat passenger or other occupants resulting in serious injury or death.","Honda will notify owners, and dealers will replace the driver's air bag inflator with an alternate inflator, free of charge.  The recall began April 10, 2019.  Honda owners may contact customer service at 1-888-234-2138.  Honda's number for this recall is O41.  Acura owners may contact customer service at 1-888-234-2138.  Acura's number for this recall is U40.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2014","ACURA","ILX"
"Honda (American Honda Motor Co.)","16V061000",0,0,0,"EA15001","03/02/2016","AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE","Honda (American Honda Motor Co.) is recalling certain model year 2007-2011 Honda CR-V, 2011-2015 CR-Z, 2010-2014 FCX, and Insight, 2009-2013 Fit, 2013-2014 Fit EV, 2007-2014 Ridgeline, 2013-2016 Acura ILX, 2013-2014 Acura ILX Hybrid, 2007-2016 RDX, 2005-2012 Acura RL, 2009-2014 Acura TL, and 2010-2013 Acura ZDX vehicles.  The affected vehicles are equipped with a dual-stage driver frontal air bag that may be susceptible to moisture intrusion which, over time, could cause the inflator to rupture.","In the event of a crash necessitating deployment of the driver's frontal air bag, the inflator could rupture with metal fragments striking the driver or other occupants resulting in serious injury or death.","Honda will notify owners, and dealers will replace the inflator, free of charge. The recall began March 2017.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's numbers for this recall are JY0, JY1, and JY2.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2014","ACURA","ILX"
"Honda (American Honda Motor Co.)","14V323000",0,0,0,,"13/06/2014","EXTERIOR LIGHTING:HEADLIGHTS","American Honda Motor Co., Inc (Honda) is recalling certain model year 2013 Acura ILX vehicles manufactured January 16, 2012 to March 1, 2013, ILX Hybrid vehicles manufactured January 12, 2012 to February 7, 2013, and certain model year 2014 ILX vehicles manufactured May 2, 2013, to May 31, 2014, and ILX Hybrid vehicles manufactured October 18, 2013 to February 19, 2014.  Excessive heat temperatures around the headlight bulb and reflector unit may diminish the output of the headlight and cause smoke, melting, and fire.  Thus, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard No. 108, ""Lamps, Reflective Devices, and Associated Equipment.""","The diminished light output may decrease the driver's visibility, increasing the risk of a crash.  Additonally, the excessive heat coming from around the bulb and reflector could cause the headlights to overheat, increasing the risk of a fire.","Honda will notify owners, and dealers will replace the headlights, free of charge.  The recall began in July 2014.  Owners may contact Acura customer service at 1-800-862-2872.  Honda's number for this recall is JE9.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2014","ACURA","ILX"
"Honda (American Honda Motor Co.)","20V770000",0,0,0,,"10/12/2020","POWER TRAIN:DRIVELINE:DRIVESHAFT","Honda (American Honda Motor Co.) is recalling certain 2013-2015 Acura ILX, 2013 Acura ILX Hybrid, 2012 Honda Civic Hybrid, and 2007-2008 Honda Fit vehicles with a manual transmission and 2009-2013 Honda Fit vehicles originally sold, or ever registered, in Connecticut, Delaware, District of Columbia, Illinois, Indiana, Iowa, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, Virginia, West Virginia, and Wisconsin.  The drive shafts' protective coating may not have been applied properly during manufacturing, making it more susceptible to damage from road salt, or other contaminants, and potentially cause it to break.","A broken drive shaft may cause a sudden loss of drive power.  The vehicle could also roll away if the parking brake has not been applied before the vehicle has been exited.  Either condition can increase the risk of a crash or injury.","Honda will notify owners, and dealers will inspect the drive shafts, replacing either the left or right drive shaft, if necessary, free of charge.  Owners were notified of the safety risk with an interim letter mailed February 2, 2021.  A second letter will be sent once the remedy is available.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's numbers for this recall are P9M, PAV, BAY, TAX, CA0, and MAZ.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2014","ACURA","ILX"
"Honda (American Honda Motor Co.)","19V182000",0,0,0,"EA15001","06/03/2019","AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE","Honda (American Honda Motor Co.) is recalling specific 2003 Acura 3.2CL, 2013-2016 ILX, 2013-2014 ILX Hybrid, 2003-2006 MDX, 2007-2016 RDX, 2002-2003 3.2TL, 2004-2006, and 2009-2014 TL, 2010-2013 ZDX and 2001-2007 and 2009 Honda Accord, 2001-2005 Civic, 2003-2005 Civic Hybrid, 2001-2005 Civic GX NGV, 2002-2007 and 2010-2011 CR-V, 2003-2011 Element, 2007 Fit, 2002-2004 Odyssey, 2003-2008 Pilot, and 2006-2014 Ridgeline vehicles.  The affected vehicles received a replacement driver air bag inflator as part of a previous Takata inflator recall remedy or a replacement driver air bag module containing the same inflator type as a service part.  Due to a manufacturing error, in the event of a crash necessitating deployment of the driver frontal air bag, these inflators may explode.","An explosion of an inflator within the driver frontal air bag module may result in sharp metal fragments striking the driver, front seat passenger or other occupants resulting in serious injury or death.","Honda will notify owners, and dealers will replace the driver's air bag inflator with an alternate inflator, free of charge.  The recall began April 10, 2019.  Honda owners may contact customer service at 1-888-234-2138.  Honda's number for this recall is O41.  Acura owners may contact customer service at 1-888-234-2138.  Acura's number for this recall is U40.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2014","ACURA","ILX HYBRID"
"Honda (American Honda Motor Co.)","19V256000",0,0,0,,"28/03/2019","EXTERIOR LIGHTING:TAIL LIGHTS","Honda (American Honda Motor Co.) is recalling certain 2014-2019 Acura MDX and 2017-2019 Acura MDX Sport Hybrid vehicles. Moisture may enter the tailgate lid lights, possibly causing a loss of the tailgate lid lights and the taillights.","Loss of the taillights reduces the vehicle's visibility, increasing the risk of crash.","Acura will notify owners, and dealers will modify the tailgate lid lights and install updated gaskets and a wiring sub-harness or will replace both tailgate lid lights.  The repairs will be performed free of charge.  The recall began May 7, 2019.  Owners may contact Acura customer service at 1-888-234-2138.  Acura's number for this recall is M49.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2014","ACURA","MDX"
"Honda (American Honda Motor Co.)","15V301000",0,0,0,,"20/05/2015","FORWARD COLLISION AVOIDANCE: CRASH IMMINENT BRAKING","Honda (American Honda Motor Co.) is recalling certain model year 2014-2015 Acura MDX 2WD and AWD, RLX and 2014 Acura RLX Hybrid vehicles.  In certain driving conditions, the Collision Mitigation Braking System (CMBS) may incorrectly interpret certain roadside objects such as metal fences or metal guardrails as obstacles and unexpectedly apply the brakes.","If the CMBS unexpectedly applies emergency braking force while driving, there is an increased risk of a crash.","Honda will notify owners, and dealers will update the CMBS software, free of charge.  The recall began on July 6, 2015.  Owners may contact Acura customer service at 1-800-382-2238.  Honda's numbers for this recall is JQ4, JQ5 and JQ6.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2014","ACURA","MDX"
"Honda (American Honda Motor Co.)","15V417000",0,0,0,,"01/07/2015","EQUIPMENT:APPLIANCE:AIR CONDITIONER","American Honda Motor Co. (Honda) is recalling certain model year 2014-2015 Acura MDX and MDX AWD vehicles manufactured April 23, 2013, to December 16, 2014.  The affected vehicles have air conditioning compressor clutch drive bolts that may not have received the proper anti-corrosion coating.","If a bolt was not coated, it may corrode and break as a result.  If the bolt breaks, the compressor clutch plate may separate from the vehicle, possibly becoming a road hazard.","Honda will notify owners, and dealers will replace the air conditioning compressor clutch drive bolt and install a new clutch plate if necessary, free of charge.  The recall began on August 7, 2015.  Owners may contact Acura client relations at 1-800-382-2238.  Honda's number for this recall is JQ7.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2014","ACURA","MDX"
"Honda (American Honda Motor Co.)","14V639000",0,0,0,,"10/10/2014","SEAT BELTS","American Honda Motor Company (Honda) is recalling certain model year 2014-2015 Acura MDX vehicles manufactured April 23, 2013, to August 25, 2014, and 2014 Acura RLX vehicles manufactured November 5, 2012, to November 25, 2013.  In the affected vehicles, the driver and front passenger seat belt may not extend or retract in low temperatures.","A seatbelt that does not function increases the risk of injury in a crash.","Honda has notified owners, and dealers will replace the driver and front passenger seat belts, free of charge.  The recall began in November 2014.  Owners may contact Acura customer service at 1-800-382-2238.  Honda's number for this recall is JK7 for the MKX, and JK8 for the RLX.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2014","ACURA","MDX"
